onset	v1c1c2	v2c3c4	tr	word	target	keep_enough_distance	keep_no_overlap	keep_self_diff
c	is	akz	cisakzik	cisakzik	cisakz	TRUE	TRUE	TRUE
†	a¥	agz	†a¥agzik	tyanyagzik	†a¥agz	TRUE	TRUE	TRUE
s	ih	agß	sihagßik	sihagszik	sihagß	TRUE	TRUE	TRUE
f	űv	őz	fűvőzik	fűvőzik	fűvőz	FALSE	FALSE	TRUE
¥	an	áz	¥anázik	nyanázik	¥anáz	TRUE	TRUE	TRUE
pl	uks	oz	pluksozik	pluksozik	pluksoz	TRUE	TRUE	TRUE
n	elp	érß	nelpérßik	nelpérszik	nelpérß	TRUE	TRUE	TRUE
Ω	ak	ágl	Ωakáglik	zsakáglik	Ωakágl	TRUE	TRUE	FALSE
n	o†	orz	no†orzik	notyorzik	no†orz	TRUE	TRUE	TRUE
b	usk	ód	buskódik	buskódik	buskód	TRUE	TRUE	TRUE
tr	ír	ek	trírekik	trírekik	trírek	TRUE	TRUE	TRUE
t	id	ajl	tidajlik	tidajlik	tidajl	TRUE	TRUE	FALSE
k	ipr	egz	kipregzik	kipregzik	kipregz	TRUE	TRUE	TRUE
c	ifj	ágl	cifjáglik	cifjáglik	cifjágl	TRUE	TRUE	TRUE
z	úd	ód	zúdódik	zúdódik	zúdód	FALSE	TRUE	TRUE
z	ögz	örl	zögzörlik	zögzörlik	zögzörl	TRUE	TRUE	TRUE
c	ut	o¥l	cuto¥lik	cutonylik	cuto¥l	TRUE	TRUE	TRUE
pr	uld	űz	pruldűzik	pruldűzik	pruldűz	TRUE	TRUE	TRUE
pl	eß	érß	pleßérßik	pleszérszik	pleßérß	TRUE	TRUE	TRUE
l	örl	ődz	lörlődzik	lörlődzik	lörlődz	TRUE	TRUE	FALSE
fl	ifj	áz	flifjázik	flifjázik	flifjáz	TRUE	TRUE	TRUE
©	etk	ed	©etkedik	gyetkedik	©etked	TRUE	TRUE	TRUE
pl	olf	os	plolfosik	plolfosik	plolfos	TRUE	FALSE	TRUE
h	ism	akl	hismaklik	hismaklik	hismakl	TRUE	TRUE	TRUE
z	int	ek	zintekik	zintekik	zintek	TRUE	TRUE	TRUE
g	én	éß	généßik	génészik	généß	TRUE	FALSE	TRUE
f	onz	oz	fonzozik	fonzozik	fonzoz	TRUE	TRUE	FALSE
NA	aç	asl	açaslik	acsaslik	açasl	TRUE	TRUE	FALSE
v	őzk	őz	vőzkőzik	vőzkőzik	vőzkőz	TRUE	FALSE	TRUE
l	ag	apß	lagapßik	lagapszik	lagapß	TRUE	TRUE	TRUE
NA	ezd	éz	ezdézik	ezdézik	ezdéz	TRUE	TRUE	TRUE
pr	ír	á¬l	prírá¬lik	prírálylik	prírá¬l	TRUE	TRUE	TRUE
t	űk	üd	tűküdik	tűküdik	tűküd	TRUE	TRUE	FALSE
©	omp	oz	©ompozik	gyompozik	©ompoz	TRUE	TRUE	TRUE
tr	ért	én	trérténik	trérténik	trértén	TRUE	FALSE	TRUE
s	aßt	á¥z	saßtá¥zik	sasztányzik	saßtá¥z	TRUE	TRUE	TRUE
sn	ik	ejl	snikejlik	snikejlik	snikejl	TRUE	TRUE	TRUE
sm	el	erß	smelerßik	smelerszik	smelerß	TRUE	TRUE	TRUE
p	akn	atl	paknatlik	paknatlik	paknatl	TRUE	TRUE	TRUE
j	alt	árz	jaltárzik	jaltárzik	jaltárz	TRUE	TRUE	TRUE
l	iΩg	akß	liΩgakßik	lizsgakszik	liΩgakß	TRUE	TRUE	TRUE
sk	ult	ud	skultudik	skultudik	skultud	TRUE	TRUE	TRUE
c	int	epß	cintepßik	cintepszik	cintepß	TRUE	TRUE	TRUE
m	ét	egß	métegßik	métegszik	métegß	TRUE	TRUE	TRUE
t	akn	áß	taknáßik	taknászik	taknáß	TRUE	TRUE	TRUE
Ω	ifj	áß	Ωifjáßik	zsifjászik	Ωifjáß	TRUE	TRUE	TRUE
sk	ü©	öd	skü©ödik	skügyödik	skü©öd	TRUE	TRUE	TRUE
k	erg	éz	kergézik	kergézik	kergéz	TRUE	TRUE	FALSE
NA	örv	őz	örvőzik	örvőzik	örvőz	TRUE	FALSE	TRUE
bl	ip	asl	blipaslik	blipaslik	blipasl	TRUE	TRUE	TRUE
d	is	éß	diséßik	disészik	diséß	TRUE	TRUE	TRUE
p	erm	eml	permemlik	permemlik	permeml	TRUE	TRUE	TRUE
g	óßt	od	góßtodik	gósztodik	góßtod	TRUE	FALSE	TRUE
f	ucl	ód	fuclódik	fuclódik	fuclód	TRUE	TRUE	TRUE
f	í©	arz	fí©arzik	fígyarzik	fí©arz	TRUE	TRUE	TRUE
t	ík	éß	tíkéßik	tíkészik	tíkéß	TRUE	TRUE	TRUE
d	úrl	úd	dúrlúdik	dúrlúdik	dúrlúd	TRUE	FALSE	TRUE
h	u†	os	hu†osik	hutyosik	hu†os	TRUE	TRUE	TRUE
¥	id	ékß	¥idékßik	nyidékszik	¥idékß	TRUE	TRUE	FALSE
b	ec	egß	becegßik	becegszik	becegß	FALSE	TRUE	TRUE
ß	ar	á¥z	ßará¥zik	szarányzik	ßará¥z	TRUE	TRUE	TRUE
tr	átl	ak	trátlakik	trátlakik	trátlak	TRUE	TRUE	TRUE
s	öls	űz	sölsűzik	sölsűzik	sölsűz	TRUE	TRUE	TRUE
ç	ap	áΩl	çapáΩlik	csapázslik	çapáΩl	TRUE	TRUE	TRUE
g	ot	oz	gotozik	gotozik	gotoz	TRUE	TRUE	TRUE
Ω	ágt	aml	Ωágtamlik	zságtamlik	Ωágtaml	TRUE	TRUE	TRUE
dΩ	énh	éz	dΩénhézik	dzsénhézik	dΩénhéz	TRUE	TRUE	TRUE
pr	öm	ődz	prömődzik	prömődzik	prömődz	TRUE	TRUE	TRUE
©	on	ud	©onudik	gyonudik	©onud	TRUE	TRUE	TRUE
ç	év	edz	çévedzik	csévedzik	çévedz	TRUE	FALSE	TRUE
sp	éh	egß	spéhegßik	spéhegszik	spéhegß	TRUE	TRUE	TRUE
n	is	es	nisesik	nisesik	nises	TRUE	FALSE	FALSE
t	or†	osl	tor†oslik	tortyoslik	tor†osl	TRUE	TRUE	TRUE
br	o©	ud	bro©udik	brogyudik	bro©ud	TRUE	TRUE	TRUE
¥	er	ed	¥eredik	nyeredik	¥ered	TRUE	FALSE	TRUE
n	ür	öz	nürözik	nürözik	nüröz	TRUE	TRUE	TRUE
sm	am	ajl	smamajlik	smamajlik	smamajl	TRUE	TRUE	TRUE
pl	ág	at	plágatik	plágatik	plágat	TRUE	TRUE	TRUE
m	í©	ékß	mí©ékßik	mígyékszik	mí©ékß	TRUE	TRUE	TRUE
dΩ	ukt	oz	dΩuktozik	dzsuktozik	dΩuktoz	TRUE	TRUE	FALSE
p	ór	o¥l	póro¥lik	póronylik	póro¥l	TRUE	TRUE	TRUE
f	úd	űz	fúdűzik	fúdűzik	fúdűz	TRUE	FALSE	TRUE
br	i¥	éß	bri¥éßik	brinyészik	bri¥éß	TRUE	TRUE	FALSE
j	el	égß	jelégßik	jelégszik	jelégß	FALSE	TRUE	TRUE
z	erg	es	zergesik	zergesik	zerges	TRUE	FALSE	TRUE
l	orz	űz	lorzűzik	lorzűzik	lorzűz	TRUE	TRUE	TRUE
p	e¥	ed	pe¥edik	penyedik	pe¥ed	TRUE	TRUE	TRUE
pr	őg	őd	prőgődik	prőgődik	prőgőd	TRUE	TRUE	TRUE
ß	ab	asl	ßabaslik	szabaslik	ßabasl	TRUE	TRUE	FALSE
l	op	od	lopodik	lopodik	lopod	TRUE	FALSE	TRUE
pl	ür	őrz	plürőrzik	plürőrzik	plürőrz	TRUE	TRUE	TRUE
f	i©	et	fi©etik	figyetik	fi©et	TRUE	TRUE	FALSE
Ω	ud	osl	Ωudoslik	zsudoslik	Ωudosl	TRUE	TRUE	TRUE
sp	alt	áz	spaltázik	spaltázik	spaltáz	TRUE	TRUE	TRUE
ß	ejl	ejl	ßejlejlik	szejlejlik	ßejlejl	TRUE	TRUE	TRUE
sn	en	edz	snenedzik	snenedzik	snenedz	TRUE	TRUE	TRUE
l	ih	én	lihénik	lihénik	lihén	TRUE	TRUE	TRUE
†	iç	epß	†içepßik	tyicsepszik	†içepß	TRUE	TRUE	TRUE
g	úr	úz	gúrúzik	gúrúzik	gúrúz	TRUE	TRUE	TRUE
†	i¥	atl	†i¥atlik	tyinyatlik	†i¥atl	TRUE	TRUE	TRUE
dΩ	úd	orz	dΩúdorzik	dzsúdorzik	dΩúdorz	TRUE	TRUE	TRUE
c	e©k	egl	ce©keglik	cegykeglik	ce©kegl	TRUE	TRUE	TRUE
¥	orn	okl	¥ornoklik	nyornoklik	¥ornokl	TRUE	TRUE	TRUE
v	űk	orz	vűkorzik	vűkorzik	vűkorz	TRUE	TRUE	TRUE
fl	ét	é¥l	flété¥lik	fléténylik	flété¥l	TRUE	TRUE	TRUE
ç	onz	oz	çonzozik	csonzozik	çonzoz	TRUE	TRUE	FALSE
p	ív	ajl	pívajlik	pívajlik	pívajl	TRUE	TRUE	TRUE
t	on	okl	tonoklik	tonoklik	tonokl	TRUE	TRUE	TRUE
b	i¥	éß	bi¥éßik	binyészik	bi¥éß	TRUE	TRUE	FALSE
†	ür	ődz	†ürődzik	tyürődzik	†ürődz	TRUE	TRUE	TRUE
br	am	akß	bramakßik	bramakszik	bramakß	TRUE	TRUE	TRUE
sk	ib	ágz	skibágzik	skibágzik	skibágz	TRUE	TRUE	FALSE
j	a¥	apß	ja¥apßik	janyapszik	ja¥apß	TRUE	TRUE	TRUE
Ω	émk	et	Ωémketik	zsémketik	Ωémket	TRUE	TRUE	TRUE
NA	ism	ejl	ismejlik	ismejlik	ismejl	TRUE	TRUE	TRUE
k	ínl	apß	kínlapßik	kínlapszik	kínlapß	TRUE	TRUE	TRUE
s	elp	ejl	selpejlik	selpejlik	selpejl	TRUE	TRUE	TRUE
v	av	agl	vavaglik	vavaglik	vavagl	TRUE	TRUE	FALSE
Ω	eng	epß	Ωengepßik	zsengepszik	Ωengepß	TRUE	TRUE	TRUE
ßt	il	áz	ßtilázik	sztilázik	ßtiláz	TRUE	TRUE	TRUE
ß	usk	ódz	ßuskódzik	szuskódzik	ßuskódz	TRUE	TRUE	TRUE
k	a©l	asl	ka©laslik	kagylaslik	ka©lasl	TRUE	TRUE	FALSE
¥	e©	ékß	¥e©ékßik	nyegyékszik	¥e©ékß	TRUE	TRUE	TRUE
c	ul	onl	culonlik	culonlik	culonl	TRUE	TRUE	FALSE
tr	ing	áß	tringáßik	tringászik	tringáß	TRUE	TRUE	TRUE
h	ilm	éß	hilméßik	hilmészik	hilméß	TRUE	TRUE	TRUE
g	eml	érl	gemlérlik	gemlérlik	gemlérl	TRUE	TRUE	FALSE
sp	ámp	az	spámpazik	spámpazik	spámpaz	TRUE	TRUE	TRUE
NA	ad	ajl	adajlik	adajlik	adajl	TRUE	TRUE	TRUE
b	áßt	ád	báßtádik	básztádik	báßtád	TRUE	TRUE	TRUE
c	ifj	éz	cifjézik	cifjézik	cifjéz	TRUE	TRUE	TRUE
j	ét	é¥l	jété¥lik	jéténylik	jété¥l	TRUE	TRUE	FALSE
p	uld	o¥l	puldo¥lik	puldonylik	puldo¥l	TRUE	TRUE	TRUE
h	üf	önl	hüfönlik	hüfönlik	hüfönl	TRUE	TRUE	TRUE
sk	él	egß	skélegßik	skélegszik	skélegß	TRUE	TRUE	TRUE
l	őg	öz	lőgözik	lőgözik	lőgöz	TRUE	TRUE	TRUE
d	aßt	ánz	daßtánzik	dasztánzik	daßtánz	TRUE	TRUE	TRUE
ßt	ü©k	őd	ßtü©kődik	sztügykődik	ßtü©kőd	TRUE	TRUE	TRUE
p	aßt	akl	paßtaklik	pasztaklik	paßtakl	TRUE	TRUE	TRUE
v	ögb	őd	vögbődik	vögbődik	vögbőd	TRUE	TRUE	FALSE
sp	ang	at	spangatik	spangatik	spangat	TRUE	TRUE	TRUE
pl	og	od	plogodik	plogodik	plogod	TRUE	FALSE	TRUE
r	ilm	atl	rilmatlik	rilmatlik	rilmatl	TRUE	TRUE	TRUE
Ω	óßt	okl	Ωóßtoklik	zsósztoklik	Ωóßtokl	TRUE	TRUE	TRUE
sn	ajt	áß	snajtáßik	snajtászik	snajtáß	TRUE	TRUE	TRUE
br	eg	érß	bregérßik	bregérszik	bregérß	TRUE	TRUE	TRUE
g	űr	oz	gűrozik	gűrozik	gűroz	TRUE	TRUE	TRUE
v	óbl	oz	vóblozik	vóblozik	vóbloz	TRUE	TRUE	TRUE
ç	űr	űdz	çűrűdzik	csűrűdzik	çűrűdz	FALSE	FALSE	TRUE
©	uçk	ud	©uçkudik	gyucskudik	©uçkud	TRUE	TRUE	TRUE
z	inc	adz	zincadzik	zincadzik	zincadz	TRUE	TRUE	FALSE
g	újt	úz	gújtúzik	gújtúzik	gújtúz	TRUE	TRUE	TRUE
j	emp	egz	jempegzik	jempegzik	jempegz	TRUE	TRUE	TRUE
k	áç	iz	káçizik	kácsizik	káçiz	FALSE	TRUE	TRUE
fl	ig	ékz	fligékzik	fligékzik	fligékz	TRUE	TRUE	TRUE
b	óg	ódz	bógódzik	bógódzik	bógódz	TRUE	TRUE	TRUE
s	ojt	orz	sojtorzik	sojtorzik	sojtorz	TRUE	TRUE	TRUE
s	art	akß	sartakßik	sartakszik	sartakß	TRUE	TRUE	TRUE
l	ápr	aml	lápramlik	lápramlik	lápraml	TRUE	TRUE	TRUE
r	ukt	úd	ruktúdik	ruktúdik	ruktúd	TRUE	TRUE	TRUE
tr	ar	ak	trarakik	trarakik	trarak	TRUE	TRUE	TRUE
pr	üh	őz	prühőzik	prühőzik	prühőz	TRUE	TRUE	TRUE
c	óg	űz	cógűzik	cógűzik	cógűz	TRUE	TRUE	TRUE
br	er	epß	brerepßik	brerepszik	brerepß	TRUE	TRUE	FALSE
m	ind	en	mindenik	mindenik	minden	FALSE	FALSE	TRUE
Ω	ém	ejl	Ωémejlik	zsémejlik	Ωémejl	TRUE	TRUE	FALSE
r	u©	orz	ru©orzik	rugyorzik	ru©orz	TRUE	TRUE	TRUE
ß	ilm	epß	ßilmepßik	szilmepszik	ßilmepß	TRUE	TRUE	TRUE
j	égz	iz	jégzizik	jégzizik	jégziz	TRUE	TRUE	TRUE
l	í©	á¥z	lí©á¥zik	lígyányzik	lí©á¥z	TRUE	TRUE	TRUE
t	iΩg	eml	tiΩgemlik	tizsgemlik	tiΩgeml	TRUE	TRUE	TRUE
sp	őrk	őd	spőrkődik	spőrkődik	spőrkőd	TRUE	TRUE	TRUE
z	ír	étl	zírétlik	zírétlik	zírétl	TRUE	TRUE	TRUE
n	eml	egz	nemlegzik	nemlegzik	nemlegz	TRUE	TRUE	FALSE
ç	ág	ágz	çágágzik	cságágzik	çágágz	TRUE	TRUE	TRUE
v	óbl	okl	vóbloklik	vóbloklik	vóblokl	TRUE	TRUE	TRUE
k	esl	egl	kesleglik	kesleglik	keslegl	TRUE	TRUE	TRUE
NA	ánk	á¬l	ánká¬lik	ánkálylik	ánká¬l	TRUE	TRUE	FALSE
d	ißt	ez	dißtezik	disztezik	dißtez	TRUE	FALSE	FALSE
g	én	ek	génekik	génekik	gének	TRUE	FALSE	TRUE
h	ir	á¬l	hirá¬lik	hirálylik	hirá¬l	TRUE	TRUE	TRUE
r	inc	á¬l	rincá¬lik	rincálylik	rincá¬l	TRUE	TRUE	TRUE
j	ur	úd	jurúdik	jurúdik	jurúd	TRUE	TRUE	TRUE
r	á¥	á¬l	rá¥á¬lik	rányálylik	rá¥á¬l	TRUE	TRUE	TRUE
fl	és	egz	flésegzik	flésegzik	flésegz	TRUE	TRUE	TRUE
c	ub	onl	cubonlik	cubonlik	cubonl	TRUE	TRUE	FALSE
k	ab	iz	kabizik	kabizik	kabiz	TRUE	TRUE	TRUE
c	orΩ	uz	corΩuzik	corzsuzik	corΩuz	TRUE	TRUE	TRUE
pl	ás	iz	plásizik	plásizik	plásiz	TRUE	TRUE	FALSE
k	ir	apß	kirapßik	kirapszik	kirapß	TRUE	TRUE	TRUE
f	űn	üd	fűnüdik	fűnüdik	fűnüd	TRUE	TRUE	TRUE
br	árk	at	brárkatik	brárkatik	brárkat	TRUE	TRUE	TRUE
tr	ip	ed	tripedik	tripedik	triped	TRUE	TRUE	TRUE
r	ír	aml	ríramlik	ríramlik	ríraml	TRUE	TRUE	TRUE
†	ad	aml	†adamlik	tyadamlik	†adaml	TRUE	TRUE	TRUE
pr	ík	ánz	príkánzik	príkánzik	príkánz	TRUE	TRUE	TRUE
z	u©	ódz	zu©ódzik	zugyódzik	zu©ódz	TRUE	TRUE	TRUE
br	ór	ud	brórudik	brórudik	brórud	TRUE	TRUE	TRUE
NA	imb	ed	imbedik	imbedik	imbed	TRUE	TRUE	TRUE
c	ár	az	cárazik	cárazik	cáraz	TRUE	FALSE	TRUE
d	aj	á¬l	dajá¬lik	dajálylik	dajá¬l	TRUE	TRUE	TRUE
tr	i¥	at	tri¥atik	trinyatik	tri¥at	TRUE	TRUE	TRUE
ç	én	eng	çénengik	csénengik	çéneng	TRUE	TRUE	FALSE
br	ámp	ád	brámpádik	brámpádik	brámpád	TRUE	TRUE	TRUE
h	oz	uz	hozuzik	hozuzik	hozuz	TRUE	TRUE	TRUE
†	alt	ajl	†altajlik	tyaltajlik	†altajl	TRUE	TRUE	TRUE
m	aç	atl	maçatlik	macsatlik	maçatl	TRUE	TRUE	FALSE
f	ír	akz	fírakzik	fírakzik	fírakz	TRUE	TRUE	TRUE
f	ißt	en	fißtenik	fisztenik	fißten	TRUE	TRUE	FALSE
sp	ek	es	spekesik	spekesik	spekes	TRUE	TRUE	FALSE
n	or	okl	noroklik	noroklik	norokl	TRUE	TRUE	TRUE
tr	áßt	ád	tráßtádik	trásztádik	tráßtád	TRUE	TRUE	TRUE
†	öls	őz	†ölsőzik	työlsőzik	†ölsőz	TRUE	TRUE	TRUE
sp	urj	úd	spurjúdik	spurjúdik	spurjúd	TRUE	TRUE	TRUE
h	ajr	árz	hajrárzik	hajrárzik	hajrárz	FALSE	TRUE	TRUE
ßt	ámp	az	ßtámpazik	sztámpazik	ßtámpaz	TRUE	TRUE	TRUE
z	újt	ód	zújtódik	zújtódik	zújtód	TRUE	TRUE	FALSE
tr	i¥	ágz	tri¥ágzik	trinyágzik	tri¥ágz	TRUE	TRUE	TRUE
fl	öz	öz	flözözik	flözözik	flözöz	TRUE	TRUE	TRUE
¥	ört	őz	¥örtőzik	nyörtőzik	¥örtőz	TRUE	TRUE	TRUE
Ω	ißt	eml	Ωißtemlik	zsisztemlik	Ωißteml	TRUE	TRUE	TRUE
Ω	epr	esl	Ωepreslik	zsepreslik	Ωepresl	TRUE	TRUE	TRUE
l	ét	ékz	létékzik	létékzik	létékz	TRUE	TRUE	TRUE
g	ilm	akß	gilmakßik	gilmakszik	gilmakß	TRUE	TRUE	TRUE
n	am	akß	namakßik	namakszik	namakß	TRUE	TRUE	TRUE
©	i¥	éz	©i¥ézik	gyinyézik	©i¥éz	TRUE	TRUE	TRUE
¥	ajt	ak	¥ajtakik	nyajtakik	¥ajtak	TRUE	TRUE	TRUE
ßt	erz	en	ßterzenik	szterzenik	ßterzen	TRUE	TRUE	TRUE
¥	et	eml	¥etemlik	nyetemlik	¥eteml	TRUE	TRUE	TRUE
dΩ	erg	éz	dΩergézik	dzsergézik	dΩergéz	TRUE	FALSE	TRUE
tr	ism	áß	trismáßik	trismászik	trismáß	TRUE	TRUE	TRUE
br	u©	úd	bru©údik	brugyúdik	bru©úd	TRUE	TRUE	TRUE
k	ál	agz	kálagzik	kálagzik	kálagz	TRUE	TRUE	TRUE
NA	ant	atl	antatlik	antatlik	antatl	TRUE	TRUE	TRUE
n	ót	űz	nótűzik	nótűzik	nótűz	FALSE	TRUE	TRUE
j	ib	ágl	jibáglik	jibáglik	jibágl	TRUE	TRUE	TRUE
dΩ	alm	ak	dΩalmakik	dzsalmakik	dΩalmak	TRUE	TRUE	TRUE
bl	ér	étl	blérétlik	blérétlik	blérétl	TRUE	TRUE	TRUE
d	űt	oz	dűtozik	dűtozik	dűtoz	TRUE	TRUE	TRUE
p	ól	ud	póludik	póludik	pólud	TRUE	TRUE	TRUE
h	és	egß	hésegßik	hésegszik	hésegß	TRUE	TRUE	TRUE
fl	or	űz	florűzik	florűzik	florűz	TRUE	TRUE	TRUE
sk	ir	égß	skirégßik	skirégszik	skirégß	TRUE	TRUE	TRUE
sp	us	űdz	spusűdzik	spusűdzik	spusűdz	TRUE	TRUE	TRUE
g	am	agß	gamagßik	gamagszik	gamagß	TRUE	TRUE	TRUE
sk	ib	et	skibetik	skibetik	skibet	TRUE	TRUE	TRUE
c	int	agz	cintagzik	cintagzik	cintagz	TRUE	TRUE	TRUE
k	ipr	en	kiprenik	kiprenik	kipren	TRUE	FALSE	TRUE
NA	eml	ejl	emlejlik	emlejlik	emlejl	TRUE	TRUE	TRUE
f	í¥l	én	fí¥lénik	fínylénik	fí¥lén	TRUE	TRUE	TRUE
n	ík	iz	níkizik	níkizik	níkiz	TRUE	TRUE	TRUE
b	i¥	én	bi¥énik	binyénik	bi¥én	TRUE	TRUE	FALSE
c	omb	od	combodik	combodik	combod	TRUE	FALSE	TRUE
ß	eh	ékz	ßehékzik	szehékzik	ßehékz	TRUE	TRUE	TRUE
dΩ	oç	ódz	dΩoçódzik	dzsocsódzik	dΩoçódz	TRUE	FALSE	TRUE
ß	elç	érl	ßelçérlik	szelcsérlik	ßelçérl	TRUE	TRUE	FALSE
k	ip	á¬l	kipá¬lik	kipálylik	kipá¬l	TRUE	TRUE	TRUE
NA	ól	úz	ólúzik	ólúzik	ólúz	TRUE	TRUE	FALSE
z	uk	űdz	zukűdzik	zukűdzik	zukűdz	TRUE	TRUE	TRUE
k	év	eml	kévemlik	kévemlik	kéveml	TRUE	TRUE	TRUE
dΩ	oçm	úz	dΩoçmúzik	dzsocsmúzik	dΩoçmúz	TRUE	TRUE	TRUE
s	ás	ak	sásakik	sásakik	sásak	TRUE	TRUE	TRUE
ßt	ik	arz	ßtikarzik	sztikarzik	ßtikarz	TRUE	TRUE	TRUE
sm	o†	okl	smo†oklik	smotyoklik	smo†okl	TRUE	TRUE	TRUE
†	elç	érl	†elçérlik	tyelcsérlik	†elçérl	TRUE	TRUE	FALSE
s	eh	étl	sehétlik	sehétlik	sehétl	TRUE	TRUE	FALSE
s	a©l	ágl	sa©láglik	sagyláglik	sa©lágl	TRUE	TRUE	TRUE
br	erg	et	brergetik	brergetik	brerget	TRUE	TRUE	TRUE
ß	old	okl	ßoldoklik	szoldoklik	ßoldokl	TRUE	TRUE	TRUE
NA	él	érß	élérßik	élérszik	élérß	TRUE	TRUE	TRUE
p	áç	akß	páçakßik	pácsakszik	páçakß	TRUE	TRUE	TRUE
bl	edz	en	bledzenik	bledzenik	bledzen	TRUE	TRUE	TRUE
br	eh	ékß	brehékßik	brehékszik	brehékß	TRUE	TRUE	TRUE
†	ajt	akz	†ajtakzik	tyajtakzik	†ajtakz	TRUE	TRUE	TRUE
tr	as	atl	trasatlik	trasatlik	trasatl	TRUE	TRUE	TRUE
sn	öm	öz	snömözik	snömözik	snömöz	TRUE	TRUE	TRUE
m	árk	ágz	márkágzik	márkágzik	márkágz	TRUE	TRUE	TRUE
n	e¥	egß	ne¥egßik	nenyegszik	ne¥egß	TRUE	TRUE	FALSE
s	ü©	örl	sü©örlik	sügyörlik	sü©örl	TRUE	TRUE	FALSE
NA	ápr	akz	áprakzik	áprakzik	áprakz	TRUE	TRUE	TRUE
ç	er	epß	çerepßik	cserepszik	çerepß	TRUE	TRUE	FALSE
br	eh	epß	brehepßik	brehepszik	brehepß	TRUE	TRUE	FALSE
d	árm	ajl	dármajlik	dármajlik	dármajl	TRUE	TRUE	TRUE
j	an	atl	janatlik	janatlik	janatl	TRUE	TRUE	TRUE
c	ép	edz	cépedzik	cépedzik	cépedz	TRUE	FALSE	TRUE
f	iΩg	ak	fiΩgakik	fizsgakik	fiΩgak	TRUE	TRUE	TRUE
d	ic	én	dicénik	dicénik	dicén	TRUE	TRUE	TRUE
c	í©	á¥l	cí©á¥lik	cígyánylik	cí©á¥l	TRUE	TRUE	TRUE
f	e¥	edz	fe¥edzik	fenyedzik	fe¥edz	TRUE	TRUE	FALSE
ß	omj	od	ßomjodik	szomjodik	ßomjod	TRUE	FALSE	TRUE
br	alt	az	braltazik	braltazik	braltaz	TRUE	TRUE	TRUE
h	u©	osl	hu©oslik	hugyoslik	hu©osl	TRUE	TRUE	TRUE
r	elç	en	relçenik	relcsenik	relçen	TRUE	FALSE	TRUE
h	uks	űz	huksűzik	huksűzik	huksűz	TRUE	TRUE	TRUE
z	inc	amz	zincamzik	zincamzik	zincamz	TRUE	TRUE	FALSE
†	oj	ud	†ojudik	tyojudik	†ojud	TRUE	TRUE	TRUE
k	ágt	árz	kágtárzik	kágtárzik	kágtárz	TRUE	TRUE	TRUE
v	á¥	at	vá¥atik	ványatik	vá¥at	TRUE	TRUE	TRUE
sk	al	áz	skalázik	skalázik	skaláz	FALSE	TRUE	TRUE
k	oc	o¥l	koco¥lik	koconylik	koco¥l	TRUE	TRUE	TRUE
NA	ajt	iz	ajtizik	ajtizik	ajtiz	TRUE	TRUE	TRUE
bl	i©	ékz	bli©ékzik	bligyékzik	bli©ékz	TRUE	TRUE	TRUE
g	it	érß	gitérßik	gitérszik	gitérß	TRUE	TRUE	TRUE
bl	álm	ád	blálmádik	blálmádik	blálmád	TRUE	TRUE	TRUE
©	ißt	á¥l	©ißtá¥lik	gyisztánylik	©ißtá¥l	TRUE	TRUE	TRUE
pl	erm	es	plermesik	plermesik	plermes	TRUE	FALSE	TRUE
s	ór	óz	sórózik	sórózik	sóróz	TRUE	TRUE	FALSE
br	org	úd	brorgúdik	brorgúdik	brorgúd	TRUE	TRUE	TRUE
z	onz	osl	zonzoslik	zonzoslik	zonzosl	TRUE	TRUE	TRUE
dΩ	á¥	áΩl	dΩá¥áΩlik	dzsányázslik	dΩá¥áΩl	TRUE	TRUE	TRUE
v	ec	egz	vecegzik	vecegzik	vecegz	TRUE	TRUE	TRUE
b	as	akz	basakzik	basakzik	basakz	TRUE	TRUE	TRUE
s	údb	orz	súdborzik	súdborzik	súdborz	TRUE	TRUE	TRUE
sm	ág	apß	smágapßik	smágapszik	smágapß	TRUE	TRUE	TRUE
fl	ec	é¥l	flecé¥lik	flecénylik	flecé¥l	TRUE	TRUE	TRUE
c	urn	ud	curnudik	curnudik	curnud	TRUE	TRUE	TRUE
h	int	az	hintazik	hintazik	hintaz	FALSE	FALSE	TRUE
f	átß	agz	fátßagzik	fátszagzik	fátßagz	TRUE	TRUE	TRUE
br	apc	az	brapcazik	brapcazik	brapcaz	TRUE	TRUE	TRUE
h	í¥l	asl	hí¥laslik	hínylaslik	hí¥lasl	TRUE	TRUE	TRUE
ß	ókl	onl	ßóklonlik	szóklonlik	ßóklonl	TRUE	TRUE	FALSE
h	akn	asl	haknaslik	haknaslik	haknasl	TRUE	TRUE	TRUE
t	ejl	iz	tejlizik	tejlizik	tejliz	TRUE	TRUE	TRUE
v	év	érl	vévérlik	vévérlik	vévérl	TRUE	TRUE	TRUE
Ω	ón	uz	Ωónuzik	zsónuzik	Ωónuz	TRUE	TRUE	TRUE
b	omp	okl	bompoklik	bompoklik	bompokl	TRUE	TRUE	TRUE
h	iml	ádz	himládzik	himládzik	himládz	TRUE	TRUE	FALSE
†	edv	epß	†edvepßik	tyedvepszik	†edvepß	TRUE	TRUE	TRUE
j	ind	atl	jindatlik	jindatlik	jindatl	TRUE	TRUE	TRUE
NA	úz	onl	úzonlik	úzonlik	úzonl	TRUE	TRUE	TRUE
ß	iç	ek	ßiçekik	szicsekik	ßiçek	TRUE	TRUE	TRUE
