cvc	cc	type	cselekednek	cselekszenek
kamintritusalik	kamintrituslik	cselekedni	kamintritusalni	kamintrituslani
gosolik	goslik	cselekedni	gosolni	goslani
kranugolik	kranuglik	cselekedtek	kranugoltok	kranuglotok
lumolik	lumlik	cselekedtek	lumoltok	lumlotok
kávitakalik	kávitaklik	cselekedni	kávitakalni	kávitaklani
rirgegirik	rirgegrik	cselekedtek	rirgegirtek	rirgegrettek
güsemölik	güsemlik	cselekedne	güsemölne	güsemlene
néntrelémőközik	néntrelémőkzik	cselekedne	néntrelémőközne	néntrelémőkzene
büröszésedik	büröszéslik	cselekedtek	büröszésedtek	büröszéslettek
titögiröközik	titögirökszik	cselekedtek	titögirököztek	titögirökszettek
szekiszik	szekszik	cselekedtek	szekisztek	szekszettek
szijulik	szijlik	cselekednek	szijulnek	szijlenek
vedügedik	vedügszik	cselekedtek	vedügedtek	vedügszettek
lokozik	lokszik	cselekedne	lokozna	lokszana
mímözik	mímzik	cselekedne	mímözne	mímzene
főkeközik	főkekszik	cselekedni	főkeközni	főkekszeni
möszírezik	möszírzik	cselekedne	möszírezne	möszírzene
dazonuzik	dazonzik	cselekedni	dazonuzni	dazonzani
kotunyuzik	kotunyzik	cselekedtek	kotunyuztak	kotunyzottak
zókazulik	zókazlik	cselekedtek	zókazultok	zókazlotok
fusaszolik	fusaszlik	cselekednek	fusaszolnak	fusaszlanak
szágupodik	szágupszik	cselekedtek	szágupodtok	szágupszotok
köleközik	kölekzik	cselekednek	köleköznek	kölekzenek
süpínyőrödik	süpínyőrdik	cselekedne	süpínyőrödne	süpínyőrdene
tugudik	tugdik	cselekedni	tugudni	tugdani
vúrozukozik	vúrozukzik	cselekedne	vúrozukozna	vúrozukzana
gíkípödik	gíkípszik	cselekedne	gíkípödne	gíkípszene
púfokalik	púfoklik	cselekedtek	púfokaltak	púfoklottak
tipödik	tipdik	cselekedtek	tipödtek	tipdettek
rikuszik	rikszik	cselekedne	ruszikne	rszikene
físzílűrezik	físzílűrzik	cselekedne	físzílűrezne	físzílűrzene
lungazosalik	lungazoslik	cselekedni	lungazosalni	lungazoslani
zódalik	zódlik	cselekedni	zódalni	zódlani
sűgölik	sűglik	cselekednek	sűgölnek	sűglenek
jűvíntetölik	jűvíntetlik	cselekedtek	jűvíntetöltek	jűvíntetlettek
kekirödik	kekirdik	cselekedne	kekirödne	kekirdene
szuralik	szurlik	cselekedni	szuralni	szurlani
mugogudik	mugogdik	cselekedtek	mugogudtak	mugogdottak
szágupodik	szágupszik	cselekedtek	szágupodtak	szágupszottak
vőtímözik	vőtímzik	cselekedtek	vőtímöztek	vőtímzettek
bezgíműsíjölik	bezgíműsíjlik	cselekednek	bezgíműsíjölnek	bezgíműsíjlenek
káloszik	kálszik	cselekednek	kálosznak	kálszanak
kilüszik	kilszik	cselekedtek	kilüsztek	kilszettek
fotyumolik	fotyumlik	cselekedtek	fotyumoltok	fotyumlotok
redelébezik	redelébzik	cselekedtek	redelébeztek	redelébzettek
kinezik	kinzik	cselekedne	kinezne	kinzene
szimuzik	szimzik	cselekedne	szimuzne	szimzene
szémlinyikedik	szémlinyikdik	cselekedtek	szémlinyediktek	szémlinydikettek
rötömözik	rötömzik	cselekedtek	rötömöztek	rötömzettek
livokúloguszik	livokúlogszik	cselekedni	livokúloguszni	livokúlogszani
tipokozik	tipokszik	cselekedni	tipokozni	tipokszani
bőközik	bőkszik	cselekednek	bőköznek	bőkszenek
lüpödik	lüpszik	cselekedtek	lüpödtek	lüpszettek
laszunolik	laszunlik	cselekedni	laszunolni	laszunlani
nasijozik	nasijzik	cselekedne	nasijozne	nasijzene
kufaloszik	kufalszik	cselekedtek	kufalosztak	kufalszottak
nokovónolik	nokovónlik	cselekedni	nokovónolni	nokovónlani
sedisizsölik	sedisizslik	cselekedtek	sedisizsöltek	sedisizslettek
vobozik	vobzik	cselekedtek	voboztok	vobzotok
vűbözik	vűbzik	cselekednek	vűböznek	vűbzenek
kübetelik	kübetlik	cselekedne	kübetelne	kübetlene
pűfelidik	pűfelszik	cselekedtek	pűfelidtek	pűfelszettek
tűdedölönölik	tűdedölönlik	cselekednek	tűdedölönölnek	tűdedölönlenek
zúkisodik	zúkislik	cselekedni	zúkisodni	zúkisleni
kontagulik	kontaglik	cselekedni	kontagulni	kontaglani
bűlírménözik	bűlírménzik	cselekedtek	bűlírménöztek	bűlírménzettek
lüdemőgűpedik	lüdemőgűpdik	cselekedtek	lüdemőgűpedtek	lüdemőgűpdettek
möködik	mökszik	cselekedni	möködni	mökszeni
morugodik	morugszik	cselekedtek	morugodtak	morugszottak
főreközik	főrekzik	cselekedne	főreközne	főrekzene
fűgzegödik	fűgzegszik	cselekedtek	fűgzegödtek	fűgzegszettek
síszelöbözik	síszelöbzik	cselekednek	síszelöböznek	síszelöbzenek
dujozik	dujzik	cselekedtek	dujoztak	dujzottak
kuzsolik	kuzslik	cselekedtek	kuzsoltok	kuzslotok
pőrügülényözik	pőrügülényzik	cselekedni	pőrügülényözni	pőrügülényzeni
fákíkudik	fákíkdik	cselekedni	fákíkudni	fákíkdeni
bépebözik	bépebzik	cselekednek	bépeböznek	bépebzenek
bíkörövigidik	bíkörövigdik	cselekednek	bíkörövigidnek	bíkörövigdenek
turísalik	turíslik	cselekednek	turísalnek	turíslenek
mógudik	mógszik	cselekedni	mógudni	mógszani
pűnyözik	pűnyzik	cselekednek	pűnyöznek	pűnyzenek
vedügedik	vedügszik	cselekedtek	vedügedtek	vedügszettek
taszulánozik	taszulánzik	cselekedtek	taszulánoztak	taszulánzottak
símütürmőlödik	símütürmőlszik	cselekedtek	símütürmőlödtek	símütürmőlszettek
kümígyenyilik	kümígyenylik	cselekedtek	kümígyenyiltek	kümígyenylettek
vapodik	vapdik	cselekedni	vapodni	vapdani
tenírizsölik	tenírizslik	cselekedtek	tenírizsöltek	tenírizslettek
ránozik	ránzik	cselekedne	ránozna	ránzana
töszöjölik	töszöjlik	cselekedni	töszöjölni	töszöjleni
dőgedik	dőgszik	cselekedtek	dőgedtek	dőgszettek
purdapudik	purdapdik	cselekedni	purdapudni	purdapdani
ríbolodik	ríbolszik	cselekednek	ríbolodnak	ríbolszanak
dikaszik	dikszik	cselekednek	dasziknek	dszikenek
ráludik	rálszik	cselekedtek	ráludtak	rálszottak
túguszik	túgszik	cselekedni	túguszni	túgszani
dikaszik	dikszik	cselekedtek	dasziktek	dszikettek
fósuszíludik	fósuszílszik	cselekedne	fósuszíludne	fósuszílszene
brígörik	brígrik	cselekedtek	brígörtek	brígrettek
mumlorigodik	mumlorigszik	cselekedtek	mumlorigodtek	mumlorigszettek
sudojolik	sudojlik	cselekedni	sudojolni	sudojlani
sígolik	síglik	cselekednek	sígolnek	síglenek
nidrakudik	nidrakdik	cselekedne	nidrakudna	nidrakdana
bépidik	bépszik	cselekednek	bépidnek	bépszenek
gunyozik	gunyzik	cselekedne	gunyozna	gunyzana
vószulik	vószlik	cselekedne	vószulna	vószlana
dolanozik	dolanzik	cselekednek	dolanoznak	dolanzanak
mőmezik	mőmzik	cselekedtek	mőmeztek	mőmzettek
píloszik	pílszik	cselekedne	píloszne	pílszene
böstizsölik	böstizslik	cselekednek	böstizsölnek	böstizslenek
víkusolik	víkuslik	cselekedne	víkusolna	víkuslana
düzölik	düzlik	cselekedtek	düzöltek	düzlettek
szogyadógodik	szogyadógszik	cselekedne	szogyadógodna	szogyadógszana
milekebüridik	milekebürdik	cselekedtek	milekebüridtek	milekebürdettek
bónagodik	bónagszik	cselekedni	bónagodni	bónagszani
bopodik	bopszik	cselekedni	bopodni	bopszani
telünyelik	telünylik	cselekedni	telünyelni	telünyleni
kígöködik	kígökszik	cselekedtek	kígöködtek	kígökszettek
kabojozik	kabojzik	cselekedni	kabojozni	kabojzani
blosalik	bloslik	cselekedtek	blosaltak	bloslottak
vósalik	vóslik	cselekedni	vósalni	vóslani
tüdögödik	tüdögdik	cselekedne	tüdögödne	tüdögdene
nukogópudik	nukogópdik	cselekedne	nukogópudna	nukogópdana
bűbügöszik	bűbügszik	cselekedni	bűbügöszni	bűbügszeni
mibakozik	mibakszik	cselekedne	mibakozna	mibakszana
kupozsolik	kupozslik	cselekednek	kupozsolnak	kupozslanak
besziséngyőgelik	besziséngyőglik	cselekednek	besziséngyőgelnek	besziséngyőglenek
sáturuzik	sáturzik	cselekednek	sáturuznak	sáturzanak
rirgegirik	rirgegrik	cselekedne	rirgegirne	rirgegrene
bögüzseríszölik	bögüzseríszlik	cselekedni	bögüzseríszölni	bögüzseríszleni
mógojolik	mógojlik	cselekednek	mógojolnak	mógojlanak
sőbedegödik	sőbedegszik	cselekedtek	sőbedegödtek	sőbedegszettek
sonuzik	sonzik	cselekednek	sonuznak	sonzanak
fósuszíludik	fósuszílszik	cselekednek	fósuszíludnek	fósuszílszenek
kirözik	kirzik	cselekednek	kiröznek	kirzenek
sélebözik	sélebzik	cselekedtek	séleböztek	sélebzettek
meközik	mekzik	cselekednek	meköznek	mekzenek
dukodik	dukszik	cselekedni	dukodni	dukszani
kekizik	kekzik	cselekedtek	kekiztek	kekzettek
rédüzígitölik	rédüzígitlik	cselekedtek	rédüzígitöltek	rédüzígitlettek
kőkejözik	kőkejzik	cselekedni	kőkejözni	kőkejzeni
lögödik	lögszik	cselekednek	lögödnek	lögszenek
kígöködik	kígökszik	cselekedne	kígöködne	kígökszene
münyözik	münyzik	cselekedtek	münyöztek	münyzettek
bőközik	bőkszik	cselekedtek	bőköztek	bőkszettek
línyömizik	línyömzik	cselekedne	línyömizne	línyömzene
sűrüridik	sűrürdik	cselekedni	sűrüridni	sűrürdeni
pafurodik	pafurdik	cselekedtek	pafurodtok	pafurdotok
főtenölik	főtenlik	cselekedne	főtenölne	főtenlene
strézleklűrözik	strézleklűrzik	cselekedne	strézleklűrözne	strézleklűrzene
rukamulik	rukamlik	cselekedne	rukamulna	rukamlana
tinyugodik	tinyugszik	cselekedtek	tinyugodtok	tinyugszotok
kürzipőpedik	kürzipőpdik	cselekedtek	kürzipőpedtek	kürzipőpdettek
nűpzelőlödik	nűpzelőlszik	cselekedni	nűpzelőlödni	nűpzelőlszeni
főpözilik	főpözlik	cselekednek	főpözilnek	főpözlenek
kijürelik	kijürlik	cselekedtek	kijüreltek	kijürlettek
kavigoszik	kavigszik	cselekedni	kavigoszni	kavigszeni
virdezelik	virdezlik	cselekedtek	virdezeltek	virdezlettek
vudubójozik	vudubójzik	cselekedne	vudubójozna	vudubójzana
bőzsilik	bőzslik	cselekedtek	bőzsiltek	bőzslettek
gősölik	gőslik	cselekedtek	gősöltek	gőslettek
sízinozik	sízinzik	cselekedtek	sízinoztek	sízinzettek
púfokalik	púfoklik	cselekedtek	púfokaltok	púfoklotok
rűlödik	rűlszik	cselekedtek	rűlödtek	rűlszettek
risiralik	risirlik	cselekedni	risiralni	risirleni
buzsulik	buzslik	cselekedtek	buzsultok	buzslotok
pűrödik	pűrdik	cselekedne	pűrödne	pűrdene
finvökedik	finvökdik	cselekednek	finvökednek	finvökdenek
rűkezik	rűkszik	cselekedne	rűkezne	rűkszene
forokuszik	forokszik	cselekednek	forokusznak	forokszanak
símütürmőlödik	símütürmőlszik	cselekednek	símütürmőlödnek	símütürmőlszenek
néntrelémőközik	néntrelémőkzik	cselekedtek	néntrelémőköztek	néntrelémőkzettek
kőgürik	kőgrik	cselekedni	kőgürni	kőgreni
púlanozik	púlanzik	cselekednek	púlanoznak	púlanzanak
vigazákolik	vigazáklik	cselekedtek	vigazákoltok	vigazáklotok
fószusúkágodik	fószusúkágszik	cselekedne	fószusúkágodna	fószusúkágszana
túpazsalik	túpazslik	cselekedtek	túpazsaltok	túpazslotok
kígöpidik	kígöpdik	cselekedtek	kígöpidtek	kígöpdettek
búfagorik	búfagrik	cselekedtek	búfagortak	búfagrottak
künvísűkénezik	künvísűkénzik	cselekednek	künvísűkéneznek	künvísűkénzenek
mőmezik	mőmzik	cselekedni	mőmezni	mőmzeni
bőfekéköszik	bőfekékszik	cselekedne	bőfekéköszne	bőfekékszene
lőtölik	lőtlik	cselekedne	lőtölne	lőtlene
rúrílodik	rúrílszik	cselekedne	rúrílodne	rúrílszene
götegödik	götegdik	cselekedne	götegödne	götegdene
tükizik	tükzik	cselekedtek	tükiztek	tükzettek
súszulik	súszlik	cselekednek	súszulnak	súszlanak
bővegyefébezik	bővegyefébzik	cselekedtek	bővegyefébeztek	bővegyefébzettek
sekümezik	sekümzik	cselekedni	sekümezni	sekümzeni
jorikuzik	jorikszik	cselekedtek	joruziktek	jorszikettek
relüszökezik	relüszökzik	cselekedtek	relüszökeztek	relüszökzettek
mőgöködik	mőgökdik	cselekednek	mőgöködnek	mőgökdenek
fópudalik	fópudlik	cselekedtek	fópudaltok	fópudlotok
pűnyözik	pűnyzik	cselekedtek	pűnyöztek	pűnyzettek
zőslögirik	zőslögrik	cselekednek	zőslögirnek	zőslögrenek
sőbölödik	sőbölszik	cselekedtek	sőbölödtek	sőbölszettek
sisinzokámolik	sisinzokámlik	cselekedtek	sisinzokámoltok	sisinzokámlotok
brangarozik	brangarzik	cselekedtek	brangaroztak	brangarzottak
ríkomárulik	ríkomárlik	cselekedne	ríkomárulna	ríkomárlana
lüködik	lükszik	cselekednek	lüködnek	lükszenek
sudojolik	sudojlik	cselekednek	sudojolnak	sudojlanak
tenírizsölik	tenírizslik	cselekedni	tenírizsölni	tenírizsleni
béfegeszik	béfegszik	cselekedtek	béfegesztek	béfegszettek
szubapodik	szubapszik	cselekedni	szubapodni	szubapszani
símütürmőlödik	símütürmőlszik	cselekedni	símütürmőlödni	símütürmőlszeni
sisinzokámolik	sisinzokámlik	cselekednek	sisinzokámolnak	sisinzokámlanak
bónyalik	bónylik	cselekedni	bónyalni	bónylani
tákiszojolik	tákiszojlik	cselekednek	tákiszojolnak	tákiszojlanak
tőzilik	tőzlik	cselekedtek	tőziltek	tőzlettek
milöszönyelik	milöszönylik	cselekednek	milöszönyelnek	milöszönylenek
bűdöszenösedik	bűdöszenöslik	cselekedne	bűdöszenösedne	bűdöszenöslene
kigürik	kigrik	cselekedni	kigürni	kigreni
zúkisodik	zúkislik	cselekedne	zúkisodne	zúkislene
küjözik	küjzik	cselekedni	küjözni	küjzeni
nukogópudik	nukogópdik	cselekedni	nukogópudni	nukogópdani
vónyozik	vónyzik	cselekedtek	vónyoztak	vónyzottak
púgalik	púglik	cselekedne	púgalna	púglana
kéfívübékölik	kéfívübéklik	cselekedni	kéfívübékölni	kéfívübékleni
líbizik	líbzik	cselekedni	líbizni	líbzeni
lántokuzik	lántokszik	cselekednek	lántokuznak	lántokszanak
sakoguszik	sakogszik	cselekedne	sakoguszna	sakogszana
túguszik	túgszik	cselekednek	túgusznak	túgszanak
böböjezik	böböjzik	cselekedni	böböjezni	böböjzeni
túsíkuszik	túsíkszik	cselekedtek	túsíkusztek	túsíkszettek
szaszugorik	szaszugrik	cselekedtek	szaszugortok	szaszugrotok
kéfívübékölik	kéfívübéklik	cselekedtek	kéfívübéköltek	kéfívübéklettek
tonyuzik	tonyzik	cselekednek	tonyuznak	tonyzanak
bóbímozik	bóbímzik	cselekedni	bóbímozni	bóbímzeni
lűkizik	lűkszik	cselekedtek	lűkiztek	lűkszettek
bövögölik	bövöglik	cselekedtek	bövögöltek	bövöglettek
fütöjezik	fütöjzik	cselekedtek	fütöjeztek	fütöjzettek
rökölik	röklik	cselekedtek	rököltek	röklettek
mupikodik	mupikdik	cselekednek	mupodiknek	mupdikenek
manukodik	manukszik	cselekednek	manukodnak	manukszanak
béfegeszik	béfegszik	cselekedni	béfegeszni	béfegszeni
besziséngyőgelik	besziséngyőglik	cselekedtek	besziséngyőgeltek	besziséngyőglettek
buzsulik	buzslik	cselekedne	buzsulna	buzslana
kejözik	kejzik	cselekednek	kejöznek	kejzenek
delíködik	delíkszik	cselekednek	delíködnek	delíkszenek
töjilik	töjlik	cselekedtek	töjiltek	töjlettek
vudubójozik	vudubójzik	cselekedni	vudubójozni	vudubójzani
tijilik	tijlik	cselekedne	tijilne	tijlene
mőgöködik	mőgökdik	cselekedtek	mőgöködtek	mőgökdettek
vúgudik	vúgszik	cselekedni	vúgudni	vúgszani
bívupodik	bívupszik	cselekedne	bívupodna	bívupszana
dőrödik	dőrdik	cselekedtek	dőrödtek	dőrdettek
rónolik	rónlik	cselekedtek	rónoltak	rónlottak
detepöksököszik	detepöksökszik	cselekednek	detepöksökösznek	detepöksökszenek
rirgegirik	rirgegrik	cselekednek	rirgegirnek	rirgegrenek
takolik	taklik	cselekedne	takolna	taklana
sömügödik	sömügszik	cselekedtek	sömügödtek	sömügszettek
métrüliszik	métrülszik	cselekedtek	métrülisztek	métrülszettek
sankoguszik	sankogszik	cselekedne	sankoguszna	sankogszana
rünilik	rünlik	cselekednek	rünilnek	rünlenek
spimatolik	spimatlik	cselekedtek	spimatoltok	spimatlotok
lüdemőgűpedik	lüdemőgűpdik	cselekedni	lüdemőgűpedni	lüdemőgűpdeni
bövögölik	bövöglik	cselekedne	bövögölne	bövöglene
tipokozik	tipokszik	cselekednek	tipokoznak	tipokszanak
píloszik	pílszik	cselekedtek	pílosztek	pílszettek
bögüzseríszölik	bögüzseríszlik	cselekedtek	bögüzseríszöltek	bögüzseríszlettek
zókazulik	zókazlik	cselekedtek	zókazultak	zókazlottak
fotyumolik	fotyumlik	cselekedne	fotyumolna	fotyumlana
bebinezik	bebinzik	cselekednek	bebineznek	bebinzenek
kúruszízulik	kúruszízlik	cselekedtek	kúruszízultek	kúruszízlettek
rőkijűföjölik	rőkijűföjlik	cselekedne	rőkijűföjölne	rőkijűföjlene
denözik	denzik	cselekedtek	denöztek	denzettek
sekümezik	sekümzik	cselekedne	sekümezne	sekümzene
kabojozik	kabojzik	cselekedtek	kabojoztok	kabojzotok
vúnkarulik	vúnkarlik	cselekedne	vúnkarulna	vúnkarlana
beszípedik	beszípszik	cselekedni	beszípedni	beszípszeni
tizalaszik	tizalszik	cselekedni	tizalaszni	tizalszani
kirvogurik	kirvogrik	cselekedne	kirvogurna	kirvograna
sigedik	sigszik	cselekedtek	sigedtek	sigszettek
vírodik	vírdik	cselekedtek	vírodtek	vírdettek
bészügölik	bészüglik	cselekedni	bészügölni	bészügleni
vukalik	vuklik	cselekedni	vukalni	vuklani
tíndapodik	tíndapdik	cselekednek	tíndapodnak	tíndapdanak
kontagulik	kontaglik	cselekednek	kontagulnak	kontaglanak
sőbölödik	sőbölszik	cselekedne	sőbölödne	sőbölszene
métrüliszik	métrülszik	cselekedtek	métrülisztek	métrülszettek
lígyokodik	lígyokszik	cselekednek	lígyokodnak	lígyokszanak
söszígilik	söszíglik	cselekedtek	söszígiltek	söszíglettek
jíkozik	jíkszik	cselekedtek	jíkoztek	jíkszettek
rúrílodik	rúrílszik	cselekedtek	rúrílodtek	rúrílszettek
bűlírménözik	bűlírménzik	cselekedne	bűlírménözne	bűlírménzene
turorodik	turordik	cselekedtek	turorodtok	turordotok
tónozik	tónzik	cselekedtek	tónoztak	tónzottak
szávuszlúralik	szávuszlúrlik	cselekedni	szávuszlúralni	szávuszlúrlani
stűtibizik	stűtibzik	cselekednek	stűtibiznek	stűtibzenek
natijozik	natijzik	cselekedtek	natijoztek	natijzettek
dospinyozik	dospinyzik	cselekednek	dospinyoznek	dospinyzenek
sőbölödik	sőbölszik	cselekedtek	sőbölödtek	sőbölszettek
kamintritusalik	kamintrituslik	cselekednek	kamintritusalnak	kamintrituslanak
pőgölik	pőglik	cselekedtek	pőgöltek	pőglettek
kökejelik	kökejlik	cselekedni	kökejelni	kökejleni
kűszöszéküszik	kűszöszékszik	cselekedne	kűszöszéküszne	kűszöszékszene
kávitakalik	kávitaklik	cselekedne	kávitakalna	kávitaklana
vúgudik	vúgszik	cselekednek	vúgudnak	vúgszanak
tögödik	tögszik	cselekedne	tögödne	tögszene
rűkezik	rűkszik	cselekedtek	rűkeztek	rűkszettek
vúnkarulik	vúnkarlik	cselekedtek	vúnkarultak	vúnkarlottak
túgokuszik	túgokszik	cselekedni	túgokuszni	túgokszani
mödebözik	mödebzik	cselekedni	mödebözni	mödebzeni
kálodik	kálszik	cselekedni	kálodni	kálszani
bibírozik	bibírzik	cselekedtek	bibíroztek	bibírzettek
tünjütütegödik	tünjütütegdik	cselekednek	tünjütütegödnek	tünjütütegdenek
szuloszik	szulszik	cselekedne	szuloszna	szulszana
litorúvúdalik	litorúvúdlik	cselekedtek	litorúvúdaltok	litorúvúdlotok
főkeközik	főkekszik	cselekedtek	főkeköztek	főkekszettek
vúdasodolik	vúdasodlik	cselekednek	vúdasodolnak	vúdasodlanak
tríkulik	tríklik	cselekednek	tríkulnek	tríklenek
sűsöszelik	sűsöszlik	cselekedne	sűsöszelne	sűsöszlene
livokúloguszik	livokúlogszik	cselekedtek	livokúlogusztok	livokúlogszotok
böstizsölik	böstizslik	cselekedne	böstizsölne	böstizslene
teklüsilik	teklüslik	cselekedtek	teklüsiltek	teklüslettek
fátíludik	fátílszik	cselekedtek	fátíludtek	fátílszettek
sidönözik	sidönzik	cselekedni	sidönözni	sidönzeni
mójuzik	mójzik	cselekedne	mójuzna	mójzana
rílmonyalik	rílmonylik	cselekedtek	rílmonyaltak	rílmonylottak
szosikudik	szosikszik	cselekednek	szosudiknek	szosszikenek
núgozik	núgzik	cselekedne	núgozna	núgzana
dusologaszik	dusologszik	cselekednek	dusologasznak	dusologszanak
kófomozik	kófomzik	cselekedne	kófomozna	kófomzana
bövögölik	bövöglik	cselekedni	bövögölni	bövögleni
gúrgokozik	gúrgokzik	cselekedni	gúrgokozni	gúrgokzani
lűrölik	lűrlik	cselekedne	lűrölne	lűrlene
műröneszéliszik	műröneszélszik	cselekedtek	műröneszélisztek	műröneszélszettek
píszumozik	píszumzik	cselekedne	píszumozna	píszumzana
kógapudik	kógapszik	cselekedtek	kógapudtak	kógapszottak
rűlríküszik	rűlríkszik	cselekedne	rűlríküszne	rűlríkszene
kuzsolik	kuzslik	cselekednek	kuzsolnak	kuzslanak
kívinelik	kívinlik	cselekednek	kívinelnek	kívinlenek
kavukozik	kavukzik	cselekedtek	kavukoztok	kavukzotok
töjilik	töjlik	cselekednek	töjilnek	töjlenek
mőgerik	mőgrik	cselekedtek	mőgertek	mőgrettek
szásudik	száslik	cselekedtek	szásudtak	száslottak
sűtebezik	sűtebzik	cselekednek	sűtebeznek	sűtebzenek
vúrusalik	vúruslik	cselekedtek	vúrusaltak	vúruslottak
rúrílodik	rúrílszik	cselekednek	rúrílodnek	rúrílszenek
prűrgítűkösödik	prűrgítűköslik	cselekednek	prűrgítűkösödnek	prűrgítűköslenek
kizígürik	kizígrik	cselekednek	kizígürnek	kizígrenek
jénömíbügezik	jénömíbügzik	cselekedtek	jénömíbügeztek	jénömíbügzettek
sisinzokámolik	sisinzokámlik	cselekedne	sisinzokámolna	sisinzokámlana
kirvogurik	kirvogrik	cselekedtek	kirvogurtak	kirvogrottak
lűmözilik	lűmözlik	cselekedtek	lűmöziltek	lűmözlettek
süpínyőrödik	süpínyőrdik	cselekedni	süpínyőrödni	süpínyőrdeni
lipükezik	lipükszik	cselekednek	lipükeznek	lipükszenek
kizígürik	kizígrik	cselekedni	kizígürni	kizígreni
pűfelidik	pűfelszik	cselekedni	pűfelidni	pűfelszeni
jénömíbügezik	jénömíbügzik	cselekedni	jénömíbügezni	jénömíbügzeni
vőmpepüdölik	vőmpepüdlik	cselekedtek	vőmpepüdöltek	vőmpepüdlettek
rőpödik	rőpdik	cselekedtek	rőpödtek	rőpdettek
gűrijilik	gűrijlik	cselekedtek	gűrijiltek	gűrijlettek
tönyözik	tönyzik	cselekedni	tönyözni	tönyzeni
fiskümölik	fiskümlik	cselekednek	fiskümölnek	fiskümlenek
kúrzutkukíkuszik	kúrzutkukíkszik	cselekedne	kúrzutkukíkuszne	kúrzutkukíkszene
föbizik	föbzik	cselekedni	föbizni	föbzeni
kuzalik	kuzlik	cselekedne	kuzalna	kuzlana
frapodik	frapszik	cselekednek	frapodnak	frapszanak
lűrölik	lűrlik	cselekedtek	lűröltek	lűrlettek
finvökedik	finvökdik	cselekedne	finvökedne	finvökdene
bígorik	bígrik	cselekedne	bígorne	bígrene
kávitakalik	kávitaklik	cselekedtek	kávitakaltok	kávitaklotok
zegiszik	zegszik	cselekedne	zegiszne	zegszene
bílukulik	bíluklik	cselekedtek	bílukultak	bíluklottak
tülívőközik	tülívőkzik	cselekedtek	tülívőköztek	tülívőkzettek
fudoloszik	fudolszik	cselekedtek	fudolosztok	fudolszotok
virdezelik	virdezlik	cselekedne	virdezelne	virdezlene
pralolodik	pralolszik	cselekedtek	pralolodtok	pralolszotok
fósuszíludik	fósuszílszik	cselekedni	fósuszíludni	fósuszílszeni
tűdedölönölik	tűdedölönlik	cselekedne	tűdedölönölne	tűdedölönlene
lűmözilik	lűmözlik	cselekedne	lűmözilne	lűmözlene
szijulik	szijlik	cselekedtek	szijultek	szijlettek
tüszelik	tüszlik	cselekedtek	tüszeltek	tüszlettek
lántokuzik	lántokszik	cselekedne	lántokuzna	lántokszana
telünyelik	telünylik	cselekednek	telünyelnek	telünylenek
kígöködik	kígökszik	cselekedtek	kígöködtek	kígökszettek
natijozik	natijzik	cselekedni	natijozni	natijzeni
tödüpödik	tödüpszik	cselekedtek	tödüpödtek	tödüpszettek
mósudik	móslik	cselekednek	mósudnak	móslanak
vőtímözik	vőtímzik	cselekedtek	vőtímöztek	vőtímzettek
rütigyűvipidik	rütigyűvipdik	cselekedtek	rütigyűvipidtek	rütigyűvipdettek
vünyildikidik	vünyildikdik	cselekedtek	vünyildidiktek	vünyilddikettek
nutosodik	nutoslik	cselekedtek	nutosodtak	nutoslottak
lumozik	lumzik	cselekedtek	lumoztok	lumzotok
tofunozik	tofunzik	cselekednek	tofunoznak	tofunzanak
möpedik	möpszik	cselekedni	möpedni	möpszeni
dösügűselik	dösügűslik	cselekedne	dösügűselne	dösügűslene
pőzsilik	pőzslik	cselekedni	pőzsilni	pőzsleni
kigodik	kigdik	cselekednek	kigodnek	kigdenek
pagodik	pagszik	cselekedtek	pagodtak	pagszottak
virdezelik	virdezlik	cselekedtek	virdezeltek	virdezlettek
mötírgepűkölik	mötírgepűklik	cselekedne	mötírgepűkölne	mötírgepűklene
vílodik	vílszik	cselekednek	vílodnek	vílszenek
mivakozik	mivakzik	cselekedtek	mivakoztok	mivakzotok
nipszoszulik	nipszoszlik	cselekedne	nipszoszulna	nipszoszlana
kőgömölik	kőgömlik	cselekedni	kőgömölni	kőgömleni
memözik	memzik	cselekedne	memözne	memzene
tugudik	tugdik	cselekednek	tugudnak	tugdanak
vűbözik	vűbzik	cselekedne	vűbözne	vűbzene
túsíkuszik	túsíkszik	cselekedne	túsíkuszne	túsíkszene
rűgezik	rűgzik	cselekedtek	rűgeztek	rűgzettek
bészügölik	bészüglik	cselekedtek	bészügöltek	bészüglettek
zikizik	zikszik	cselekedtek	ziziktek	zszikettek
kígöpidik	kígöpdik	cselekedni	kígöpidni	kígöpdeni
baspoltulodik	baspoltulszik	cselekedne	baspoltulodna	baspoltulszana
púlanozik	púlanzik	cselekedtek	púlanoztak	púlanzottak
delíködik	delíkszik	cselekedtek	delíködtek	delíkszettek
sömügödik	sömügszik	cselekedne	sömügödne	sömügszene
vúzusztúnalik	vúzusztúnlik	cselekedni	vúzusztúnalni	vúzusztúnlani
mövezsenyözik	mövezsenyzik	cselekednek	mövezsenyöznek	mövezsenyzenek
búvarozik	búvarzik	cselekedni	búvarozni	búvarzani
küskebözik	küskebzik	cselekednek	küskeböznek	küskebzenek
rekösőküszik	rekösőkszik	cselekedtek	rekösőküsztek	rekösőkszettek
ziszigurik	ziszigrik	cselekedni	ziszigurni	ziszigreni
