base	base_tr	variation	type	target1	target2	target1_resp	target2_resp	log_odds	derivational	nsyl	vowel	suffix
sztrijzik	ßtrijzik	lakom/lakok	nonce word response	sztrijzok	sztrijzom	14	12	0.14310084364067324	-zik	1	NA	NA
sztritlik / sztritozik	ßtritlik / ßtritozik	cselekszenek/cselekednek	nonce word response	sztritlanak	sztritoznak	14	12	0.14310084364067324	-lik	1	NA	nek
sztrozlik	ßtrozlik	lakom/lakok	nonce word response	sztrozlok	sztrozlom	16	10	0.4353180712578455	-lik	1	NA	NA
sztruglik	ßtruglik	lakom/lakok	nonce word response	sztruglok	sztruglom	16	10	0.4353180712578455	-lik	1	NA	NA
sztrűkszik	ßtrűkßik	lakom/lakok	nonce word response	sztrűkszök	sztrűkszöm	11	15	-0.2876820724517809	-szik	1	NA	NA
szűslik	ßűslik	lakom/lakok	nonce word response	szűslök	szűslöm	21	7	1.0116009116784799	-lik	1	NA	NA
szutend	ßutend	hotelban/hotelben	nonce word response	szutendben	szutendban	19	7	-0.9162907318741551	NA	NA	e	ban
tágarzik / tágarozik	tágarzik / tágarozik	cselekszenek/cselekednek	nonce word response	tágarzunk	tágarozunk	12	14	-0.1431008436406733	-zik	2	NA	ünk
táklik	táklik	lakom/lakok	nonce word response	táklok	táklom	11	15	-0.2876820724517809	-lik	1	NA	NA
tarhéz	tarhéz	hotelban/hotelben	nonce word response	tarhézben	tarhézban	6	20	1.0986122886681098	NA	NA	é	ban
tibarzik / tibarozik	tibarzik / tibarozik	cselekszenek/cselekednek	nonce word response	tibarzanak	tibaroznak	13	13	0	-zik	2	NA	nek
tínylik	tí¥lik	lakom/lakok	nonce word response	tínylok	tínylom	16	10	0.4353180712578455	-lik	1	NA	NA
tiregzik	tiregzik	lakom/lakok	nonce word response	tiregzek	tiregzem	15	13	0.13353139262452257	-zik	2	NA	NA
tivenc	tivenc	hotelban/hotelben	nonce word response	tivencben	tivencban	22	4	-1.5260563034950492	NA	NA	e	ban
töglik / tögözik	töglik / tögözik	cselekszenek/cselekednek	nonce word response	töglenek	tögöznek	22	6	1.1895840668738364	-lik	1	NA	nek
tomlik	tomlik	lakom/lakok	nonce word response	tomlok	tomlom	26	2	2.1972245773362196	-lik	1	NA	NA
tosély	tosé¬	hotelban/hotelben	nonce word response	tosélyben	tosélyban	6	22	1.1895840668738362	NA	NA	é	ban
trádlik	trádlik	lakom/lakok	nonce word response	trádlok	trádlom	16	10	0.4353180712578455	-lik	1	NA	NA
tragzik	tragzik	lakom/lakok	nonce word response	tragzok	tragzom	13	13	0	-zik	1	NA	NA
trájeg	trájeg	hotelban/hotelben	nonce word response	trájegben	trájegban	21	5	-1.2992829841302609	NA	NA	e	ban
trálaklik / trálakozik	trálaklik / trálakozik	cselekszenek/cselekednek	nonce word response	trálaklanak	trálakoznak	13	13	0	-lik	2	NA	nek
trálszik / trálodik	trálßik / trálodik	cselekszenek/cselekednek	nonce word response	trálszunk	trálodunk	19	7	0.9162907318741551	-szik	1	NA	ünk
tranék	tranék	hotelban/hotelben	nonce word response	tranékben	tranékban	12	16	0.2682639865946794	NA	NA	é	ban
tránély	tráné¬	hotelban/hotelben	nonce word response	tránélynek	tránélynak	6	20	1.0986122886681098	NA	NA	é	nak
trapszegy	trapße©	hotelban/hotelben	nonce word response	trapszegynél	trapszegynál	22	4	-1.5260563034950492	NA	NA	e	nál
treglik	treglik	lakom/lakok	nonce word response	treglek	treglem	18	8	0.7472144018302211	-lik	1	NA	NA
trehégszik	trehégßik	lakom/lakok	nonce word response	trehégszek	trehégszem	8	18	-0.7472144018302211	-szik	2	NA	NA
tribejlik / tribejezik	tribejlik / tribejezik	cselekszenek/cselekednek	nonce word response	tribejletek	tribejeztek	9	19	-0.6931471805599453	-lik	2	NA	tek
trigenc	trigenc	hotelban/hotelben	nonce word response	trigencnek	trigencnak	27	1	-2.6390573296152584	NA	NA	e	nak
trihagzik	trihagzik	lakom/lakok	nonce word response	trihagzok	trihagzom	9	17	-0.587786664902119	-zik	2	NA	NA
trikép	trikép	hotelban/hotelben	nonce word response	triképben	triképban	23	3	-1.791759469228055	NA	NA	é	ban
triklik / trikozik	triklik / trikozik	cselekszenek/cselekednek	nonce word response	triklotok	trikoztok	17	9	0.5877866649021191	-lik	1	NA	tek
trilekszik / trilekedik	trilekßik / trilekedik	cselekszenek/cselekednek	nonce word response	trilekszetek	trilekedtek	14	12	0.14310084364067324	-szik	2	NA	tek
trilszik	trilßik	lakom/lakok	nonce word response	trilszok	trilszom	15	11	0.28768207245178085	-szik	1	NA	NA
trincseg	trinçeg	hotelban/hotelben	nonce word response	trincsegben	trincsegban	23	3	-1.791759469228055	NA	NA	e	ban
trírzik / trírozik	trírzik / trírozik	cselekszenek/cselekednek	nonce word response	trírzunk	trírozunk	13	15	-0.13353139262452263	-zik	1	NA	ünk
trismél	trismél	hotelban/hotelben	nonce word response	trismélnek	trismélnak	23	3	-1.791759469228055	NA	NA	é	nak
trivakszik / trivakodik	trivakßik / trivakodik	cselekszenek/cselekednek	nonce word response	trivakszunk	trivakodunk	13	13	0	-szik	2	NA	ünk
trodély	trodé¬	hotelban/hotelben	nonce word response	trodélyben	trodélyban	5	21	1.2992829841302609	NA	NA	é	ban
trugoklik / trugokozik	trugoklik / trugokozik	cselekszenek/cselekednek	nonce word response	trugoklanak	trugokoznak	14	12	0.14310084364067324	-lik	2	NA	nek
trugzik / trugozik	trugzik / trugozik	cselekszenek/cselekednek	nonce word response	trugzanak	trugoznak	11	17	-0.40546510810816444	-zik	1	NA	nek
trukszik / trukodik	trukßik / trukodik	cselekszenek/cselekednek	nonce word response	trukszotok	trukodtok	13	13	0	-szik	1	NA	tek
trűnylik / trűnyözik	trű¥lik / trű¥özik	cselekszenek/cselekednek	nonce word response	trűnylenek	trűnyöznek	13	13	0	-lik	1	NA	nek
tuboklik	tuboklik	lakom/lakok	nonce word response	tuboklok	tuboklom	16	10	0.4353180712578455	-lik	2	NA	NA
tűgzik / tűgözik	tűgzik / tűgözik	cselekszenek/cselekednek	nonce word response	tűgzötök	tűgöztök	14	12	0.14310084364067324	-zik	1	NA	tek
tumély	tumé¬	hotelban/hotelben	nonce word response	tumélynél	tumélynál	18	10	-0.5465437063680699	NA	NA	é	nál
vanylik	va¥lik	lakom/lakok	nonce word response	vanylok	vanylom	20	6	1.0986122886681098	-lik	1	NA	NA
vehékszik / vehékedik	vehékßik / vehékedik	cselekszenek/cselekednek	nonce word response	vehékszünk	vehékedünk	18	8	0.7472144018302211	-szik	2	NA	ünk
vihapszik / vihapodik	vihapßik / vihapodik	cselekszenek/cselekednek	nonce word response	vihapszunk	vihapodunk	16	10	0.4353180712578455	-szik	2	NA	ünk
vihepszik	vihepßik	lakom/lakok	nonce word response	vihepszek	vihepszem	8	18	-0.7472144018302211	-szik	2	NA	NA
vilakszik	vilakßik	lakom/lakok	nonce word response	vilakszok	vilakszom	8	18	-0.7472144018302211	-szik	2	NA	NA
vileslik / vilesezik	vileslik / vilesezik	cselekszenek/cselekednek	nonce word response	vileslünk	vilesezünk	13	13	0	-lik	2	NA	ünk
virzik / virozik	virzik / virozik	cselekszenek/cselekednek	nonce word response	virzanak	viroznak	13	13	0	-zik	1	NA	nek
vismer	vismer	hotelban/hotelben	nonce word response	vismernél	vismernál	26	0	-3.295836866004329	NA	NA	e	nál
vobzik / vobozik	vobzik / vobozik	cselekszenek/cselekednek	nonce word response	vobzotok	voboztok	11	15	-0.2876820724517809	-zik	1	NA	tek
vodec	vodec	hotelban/hotelben	nonce word response	vodecnél	vodecnál	20	6	-1.0986122886681098	NA	NA	e	nál
vodép	vodép	hotelban/hotelben	nonce word response	vodépnek	vodépnak	19	7	-0.9162907318741551	NA	NA	é	nak
vorszen	vorßen	hotelban/hotelben	nonce word response	vorszennél	vorszennál	24	4	-1.6094379124341003	NA	NA	e	nál
vublet	vublet	hotelban/hotelben	nonce word response	vubletnél	vubletnál	20	6	-1.0986122886681098	NA	NA	e	nál
vűjlik	vűjlik	lakom/lakok	nonce word response	vűjlök	vűjlöm	20	6	1.0986122886681098	-lik	1	NA	NA
vülődzik	vülődzik	lakom/lakok	nonce word response	vülődzök	vülődzöm	14	12	0.14310084364067324	-zik	2	NA	NA
vurnel	vurnel	hotelban/hotelben	nonce word response	vurnelnek	vurnelnak	21	5	-1.2992829841302609	NA	NA	e	nak
zábény	zábé¥	hotelban/hotelben	nonce word response	zábénynek	zábénynak	18	8	-0.7472144018302211	NA	NA	é	nak
zarcég	zarcég	hotelban/hotelben	nonce word response	zarcégnél	zarcégnál	21	7	-1.0116009116784799	NA	NA	é	nál
zatéj	zatéj	hotelban/hotelben	nonce word response	zatéjnél	zatéjnál	14	12	-0.14310084364067324	NA	NA	é	nál
zihenc	zihenc	hotelban/hotelben	nonce word response	zihencnek	zihencnak	27	1	-2.6390573296152584	NA	NA	e	nak
zined	zined	hotelban/hotelben	nonce word response	zinednek	zinednak	25	1	-2.5649493574615367	NA	NA	e	nak
zödlik	zödlik	lakom/lakok	nonce word response	zödlök	zödlöm	18	8	0.7472144018302211	-lik	1	NA	NA
zopély	zopé¬	hotelban/hotelben	nonce word response	zopélynél	zopélynál	10	16	0.4353180712578455	NA	NA	é	nál
zsáder	Ωáder	hotelban/hotelben	nonce word response	zsáderben	zsáderban	15	11	-0.28768207245178085	NA	NA	e	ban
zsádév	Ωádév	hotelban/hotelben	nonce word response	zsádévnek	zsádévnak	12	14	0.1431008436406733	NA	NA	é	nak
zsalrén	Ωalrén	hotelban/hotelben	nonce word response	zsalrénnek	zsalrénnak	13	13	-0	NA	NA	é	nak
zsigén	Ωigén	hotelban/hotelben	nonce word response	zsigénnél	zsigénnál	25	3	-1.8718021769015913	NA	NA	é	nál
zsopéd	Ωopéd	hotelban/hotelben	nonce word response	zsopédben	zsopédban	7	19	0.916290731874155	NA	NA	é	ban
zsúdel	Ωúdel	hotelban/hotelben	nonce word response	zsúdelnek	zsúdelnak	21	5	-1.2992829841302609	NA	NA	e	nak
zuten	zuten	hotelban/hotelben	nonce word response	zutennél	zutennál	22	6	-1.1895840668738364	NA	NA	e	nál
