base	baseline_log_odds	dat_id	record_date	part_id	part_gender	part_yob	part_edu	list_number	trial_kind	trial_index	stimulus	choice1	choice2	response	response_string	esp_response	esp_match	rt	time_elapsed	file_name	variation	column	log_odds	variant1	variant2	nsyl	suffix	sample_number	word_rank	top_20	bottom_20	reg_rate	reg_dist	picked_left	picked_v1	esp_v1	picked_majority	i
sztremlik	1.3437347467010947	hungarian-esp_esp_participant_SESSION_2023-06-19_17h27.46.511.csv	2023-06-19T17:27:00Z	5df97fcd11d8796fd29e85e3	Férfi	1998	14	2	esp trial	51	Te bizony sokat sztremlesz. Én is sokat...	sztremlek	sztremlem	1	sztremlem	sztremlem	TRUE	1277	393150	lakok_1_low_reversed	lakok/lakom	27	1.3437347467010947	sztremlek	sztremlem	1	NA	1	6	TRUE	FALSE	low	reversed	FALSE	FALSE	FALSE	TRUE	21
trálszik / trálodik	0.9162907318741552	hungarian-esp_esp_participant_SESSION_2023-06-20_19h36.31.354.csv	2023-06-20T19:36:00Z	5c7cf1adc8c9920015d0bc60	férfi	1995	21	2	esp trial	51	János imád trálodni, ezért sokat trálszik. Mi ritkán...	trálszunk	trálodunk	1	trálodunk	trálodunk	TRUE	9773	400221	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	0.9162907318741552	trálszunk	trálodunk	1	ünk	1	2	TRUE	FALSE	low	reversed	FALSE	FALSE	FALSE	TRUE	21
tribejlik / tribejezik	-0.5978370007556204	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_13h08.08.328.csv	2023-06-21T13:08:00Z	5e8aefb03d71b0799a8d0f48	NA	NA	NA	8	second posttest trial	51	János imád tribejezni, ezért sokat tribejlik. Ti ritkán...	tribejletek	tribejeztek	0	tribejletek	NA	NA	2345	239533	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.5978370007556204	tribejletek	tribejeztek	2	tek	3	50	FALSE	TRUE	NA	NA	TRUE	TRUE	NA	NA	46
trihagzik	-0.6418538861723948	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_10h28.38.451.csv	2023-06-20T10:28:00Z	6140ff9c5750f0081ca8d71f	NA	NA	NA	8	second posttest trial	51	Te bizony sokat trihagzol. Én is sokat...	trihagzok	trihagzom	1	trihagzom	NA	NA	4194	467641	lakok_3_high_reversed	lakok/lakom	33	-0.6418538861723948	trihagzok	trihagzom	2	NA	3	50	FALSE	TRUE	NA	NA	FALSE	FALSE	NA	NA	39
trihagzik	-0.6418538861723948	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_16h31.46.693.csv	2023-06-20T16:31:00Z	60d3acd071e98de7a42743ac	NA	NA	NA	8	second posttest trial	51	Te bizony sokat trihagzol. Én is sokat...	trihagzok	trihagzom	1	trihagzom	NA	NA	3448	240418	lakok_3_high_reversed	lakok/lakom	33	-0.6418538861723948	trihagzok	trihagzom	2	NA	3	50	FALSE	TRUE	NA	NA	FALSE	FALSE	NA	NA	43
trűnylik / trűnyözik	0	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h03.01.204.csv	2023-06-21T11:03:00Z	5f99dc8aa866bf0bf2d60f46	NA	NA	NA	8	second posttest trial	51	János imád trűnyözni, ezért sokat trűnylik. Ők ritkán...	trűnylenek	trűnyöznek	0	trűnylenek	NA	NA	3997	507528	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0	trűnylenek	trűnyöznek	1	nek	3	32	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	35
tuboklik	0.4353180712578455	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_13h28.37.951.csv	2023-06-20T13:28:00Z	605896a739d40fa144496f26	NA	NA	NA	8	second posttest trial	51	Te bizony sokat tuboklasz. Én is sokat...	tuboklok	tuboklom	1	tuboklom	NA	NA	435	191272	lakok_3_high_reversed	lakok/lakom	33	0.4353180712578455	tuboklok	tuboklom	2	NA	3	24	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	46
vihapszik / vihapodik	0.49247648509779424	hungarian-esp_esp_participant_SESSION_2023-06-20_21h04.43.810.csv	2023-06-20T21:04:00Z	61717173748006894b2b54ff	Férfi	2003	12	2	esp trial	51	János imád vihapodni, ezért sokat vihapszik. Mi ritkán...	vihapodunk	vihapszunk	0	vihapodunk	vihapodunk	TRUE	4665	331443	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	0.49247648509779424	vihapszunk	vihapodunk	2	ünk	1	12	TRUE	FALSE	low	reversed	TRUE	FALSE	FALSE	TRUE	21
vihepszik	-0.7472144018302211	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_08h56.52.861.csv	2023-06-20T08:56:00Z	60bf79a315a10bd3d21b3a96	NA	NA	NA	8	second posttest trial	51	Te bizony sokat vihepszel. Én is sokat...	vihepszek	vihepszem	1	vihepszem	NA	NA	3184	218465	lakok_3_high_reversed	lakok/lakom	33	-0.7472144018302211	vihepszek	vihepszem	2	NA	3	51	FALSE	TRUE	NA	NA	FALSE	FALSE	NA	NA	45
vihepszik	-0.7472144018302211	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_17h13.50.637.csv	2023-06-20T17:13:00Z	5ef5f78600093427dfd5e120	NA	NA	NA	8	second posttest trial	51	Te bizony sokat vihepszel. Én is sokat...	vihepszek	vihepszem	0	vihepszek	NA	NA	2716	307097	lakok_3_high_reversed	lakok/lakom	33	-0.7472144018302211	vihepszek	vihepszem	2	NA	3	51	FALSE	TRUE	NA	NA	TRUE	TRUE	NA	NA	44
aglik	-0.2076393647782445	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_16h38.46.274.csv	2023-06-20T16:38:00Z	605bb95e25fb0eb3edfe7c73	NA	NA	NA	8	second posttest trial	52	Te bizony sokat aglasz. Én is sokat...	aglom	aglok	1	aglok	NA	NA	4660	407294	lakok_3_high_reversed	lakok/lakom	33	-0.2076393647782445	aglok	aglom	1	NA	3	38	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	43
brivepszik / brivepedik	0.9162907318741552	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h31.31.484.csv	2023-06-21T11:31:00Z	566f3979744e3e0005b63481	NA	NA	NA	8	second posttest trial	52	János imád brivepedni, ezért sokat brivepszik. Mi ritkán...	brivepedünk	brivepszünk	1	brivepszünk	NA	NA	4119	208992	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.9162907318741552	brivepszünk	brivepedünk	2	ünk	3	1	TRUE	FALSE	NA	NA	FALSE	TRUE	NA	NA	47
csólorzik	-0.5978370007556204	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_09h05.09.759.csv	2023-06-20T09:05:00Z	6107aa76ee9845023fb0cb80	NA	NA	NA	8	second posttest trial	52	Te bizony sokat csólorzol. Én is sokat...	csólorzok	csólorzom	0	csólorzok	NA	NA	1990	236000	lakok_3_high_reversed	lakok/lakom	33	-0.5978370007556204	csólorzok	csólorzom	2	NA	3	47	FALSE	TRUE	NA	NA	TRUE	TRUE	NA	NA	47
csólorzik	-0.5978370007556204	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_10h48.54.386.csv	2023-06-20T10:48:00Z	608adf0cc8637f7f395352b1	NA	NA	NA	8	second posttest trial	52	Te bizony sokat csólorzol. Én is sokat...	csólorzom	csólorzok	1	csólorzok	NA	NA	2857	260328	lakok_3_high_reversed	lakok/lakom	33	-0.5978370007556204	csólorzok	csólorzom	2	NA	3	47	FALSE	TRUE	NA	NA	FALSE	TRUE	NA	NA	47
flérlik	1.5686159179138452	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_12h41.07.671.csv	2023-06-20T12:41:00Z	5eeb31f414742d21c8dc5cd2	NA	NA	NA	8	second posttest trial	52	Te bizony sokat flérlesz. Én is sokat...	flérlem	flérlek	0	flérlem	NA	NA	4568	295074	lakok_3_high_reversed	lakok/lakom	33	1.5686159179138452	flérlek	flérlem	1	NA	3	4	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	40
fliraklik	0	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_17h13.50.637.csv	2023-06-20T17:13:00Z	5ef5f78600093427dfd5e120	NA	NA	NA	8	second posttest trial	52	Te bizony sokat fliraklasz. Én is sokat...	fliraklok	fliraklom	0	fliraklok	NA	NA	6609	314215	lakok_3_high_reversed	lakok/lakom	33	0	fliraklok	fliraklom	2	NA	3	32	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	45
flözlik	0.965080896043587	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_14h51.24.919.csv	2023-06-20T14:51:00Z	60febbf6684ed23d1eec2db6	NA	NA	NA	8	second posttest trial	52	Te bizony sokat flözlesz. Én is sokat...	flözlök	flözlöm	1	flözlöm	NA	NA	2522	135636	lakok_3_high_reversed	lakok/lakom	33	0.965080896043587	flözlök	flözlöm	1	NA	3	9	TRUE	FALSE	NA	NA	FALSE	FALSE	NA	NA	47
fréslik / frésezik	0.5978370007556204	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h59.24.738.csv	2023-06-21T11:59:00Z	6044cde18ec25456d2bd9d99	NA	NA	NA	8	second posttest trial	52	János imád frésezni, ezért sokat fréslik. Mi ritkán...	fréslünk	frésezünk	0	fréslünk	NA	NA	746	511495	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.5978370007556204	fréslünk	frésezünk	1	ünk	3	7	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	45
friszlik	0.06453852113757116	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_13h06.15.947.csv	2023-06-20T13:06:00Z	612058b64e8bd208d39fbe68	NA	NA	NA	8	second posttest trial	52	Te bizony sokat friszlasz. Én is sokat...	friszlok	friszlom	0	friszlok	NA	NA	4003	243089	lakok_3_high_reversed	lakok/lakom	33	0.06453852113757116	friszlok	friszlom	1	NA	3	31	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	47
galárzik / galározik	-0.49247648509779407	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_12h09.46.148.csv	2023-06-21T12:09:00Z	5d3c6e745602310001bca8aa	NA	NA	NA	8	second posttest trial	52	János imád galározni, ezért sokat galárzik. Ők ritkán...	galárzanak	galároznak	1	galároznak	NA	NA	4631	657707	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.49247648509779407	galárzanak	galároznak	2	nek	3	48	FALSE	TRUE	NA	NA	FALSE	FALSE	NA	NA	39
gatáglik / gatágozik	-0.7985076962177716	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h03.01.204.csv	2023-06-21T11:03:00Z	5f99dc8aa866bf0bf2d60f46	NA	NA	NA	8	second posttest trial	52	János imád gatágozni, ezért sokat gatáglik. Mi ritkán...	gatágozunk	gatáglunk	1	gatáglunk	NA	NA	3897	511954	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.7985076962177716	gatáglunk	gatágozunk	2	ünk	3	52	FALSE	TRUE	NA	NA	FALSE	TRUE	NA	NA	36
gyivepszik / gyivepedik	0.20763936477824457	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h51.47.417.csv	2023-06-21T11:51:00Z	607b14f74a8418d7b787ce33	NA	NA	NA	8	second posttest trial	52	János imád gyivepedni, ezért sokat gyivepszik. Ők ritkán...	gyivepednek	gyivepszenek	0	gyivepednek	NA	NA	1880	202059	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.20763936477824457	gyivepszenek	gyivepednek	2	nek	3	21	FALSE	FALSE	NA	NA	TRUE	FALSE	NA	NA	46
huklik	-0.06899287148695143	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_12h41.55.226.csv	2023-06-20T12:41:00Z	5df2235d5a34251266ea645e	NA	NA	NA	8	second posttest trial	52	Te bizony sokat huklasz. Én is sokat...	huklok	huklom	0	huklok	NA	NA	736	90165	lakok_3_high_reversed	lakok/lakom	33	-0.06899287148695143	huklok	huklom	1	NA	3	35	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	46
huklik	-0.06899287148695143	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_15h13.44.238.csv	2023-06-20T15:13:00Z	5e1dff99f0b71e166a571d7f	NA	NA	NA	8	second posttest trial	52	Te bizony sokat huklasz. Én is sokat...	huklok	huklom	1	huklom	NA	NA	2343	156459	lakok_3_high_reversed	lakok/lakom	33	-0.06899287148695143	huklok	huklom	1	NA	3	35	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	47
klárzik	0	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_09h11.20.328.csv	2023-06-20T09:11:00Z	5f325435f0fc671a7434cabe	NA	NA	NA	8	second posttest trial	52	Te bizony sokat klárzol. Én is sokat...	klárzom	klárzok	1	klárzok	NA	NA	5867	351086	lakok_3_high_reversed	lakok/lakom	33	0	klárzok	klárzom	1	NA	3	33	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	44
kumlik	1.6486586255873816	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_11h36.07.341.csv	2023-06-20T11:36:00Z	5df97fcd11d8796fd29e85e3	NA	NA	NA	8	second posttest trial	52	Te bizony sokat kumlasz. Én is sokat...	kumlom	kumlok	0	kumlom	NA	NA	2316	281551	lakok_3_high_reversed	lakok/lakom	33	1.6486586255873816	kumlok	kumlom	1	NA	3	3	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	42
lihadzik	0.1941560144409574	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_16h28.04.251.csv	2023-06-20T16:28:00Z	5ca9f1578d77140001bac8dc	NA	NA	NA	8	second posttest trial	52	Te bizony sokat lihadzol. Én is sokat...	lihadzom	lihadzok	1	lihadzok	NA	NA	4981	240514	lakok_3_high_reversed	lakok/lakom	33	0.1941560144409574	lihadzok	lihadzom	2	NA	3	27	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	44
lírlik / lírozik	-0.06453852113757118	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_09h17.44.350.csv	2023-06-21T09:17:00Z	60ef5b1cf52939a80af77543	NA	NA	NA	8	second posttest trial	52	János imád lírozni, ezért sokat lírlik. Ők ritkán...	líroznak	lírlanak	0	líroznak	NA	NA	3206	246925	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.06453852113757118	lírlanak	líroznak	1	nek	3	33	FALSE	FALSE	NA	NA	TRUE	FALSE	NA	NA	43
pehégszik / pehégedik	0.4353180712578455	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_08h04.54.575.csv	2023-06-21T08:04:00Z	6151b07ac0d164fdd7e53100	NA	NA	NA	8	second posttest trial	52	János imád pehégedni, ezért sokat pehégszik. Ti ritkán...	pehégedtek	pehégszetek	1	pehégszetek	NA	NA	4458	93793	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.4353180712578455	pehégszetek	pehégedtek	2	tek	3	15	TRUE	FALSE	NA	NA	FALSE	TRUE	NA	NA	46
pekszik / pekedik	0.7985076962177716	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_08h12.22.832.csv	2023-06-21T08:12:00Z	5f338ba6ea047119dbd6e49e	NA	NA	NA	8	second posttest trial	52	János imád pekedni, ezért sokat pekszik. Mi ritkán...	pekedünk	pekszünk	0	pekedünk	NA	NA	6208	326964	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.7985076962177716	pekszünk	pekedünk	1	ünk	3	3	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	41
péleslik	0.7419373447293773	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_10h28.38.451.csv	2023-06-20T10:28:00Z	6140ff9c5750f0081ca8d71f	NA	NA	NA	8	second posttest trial	52	Te bizony sokat péleslesz. Én is sokat...	péleslem	péleslek	1	péleslek	NA	NA	7342	475483	lakok_3_high_reversed	lakok/lakom	33	0.7419373447293773	péleslek	péleslem	2	NA	3	17	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	40
prezlik	0.9162907318741552	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_11h44.38.546.csv	2023-06-20T11:44:00Z	610032aa2ae56976d71d296d	NA	NA	NA	8	second posttest trial	52	Te bizony sokat prezlesz. Én is sokat...	prezlem	prezlek	1	prezlek	NA	NA	327	216493	lakok_3_high_reversed	lakok/lakom	33	0.9162907318741552	prezlek	prezlem	1	NA	3	11	TRUE	FALSE	NA	NA	FALSE	TRUE	NA	NA	47
spalárzik / spalározik	-0.1431008436406733	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_12h11.19.959.csv	2023-06-21T12:11:00Z	5c7cf1adc8c9920015d0bc60	NA	NA	NA	8	second posttest trial	52	János imád spalározni, ezért sokat spalárzik. Ők ritkán...	spalárzanak	spalároznak	1	spalároznak	NA	NA	2756	230328	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.1431008436406733	spalárzanak	spalároznak	2	nek	3	37	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	45
sprálszik	-0.2876820724517809	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_12h37.10.182.csv	2023-06-20T12:37:00Z	5f632ea32e85353d93872c67	NA	NA	NA	8	second posttest trial	52	Te bizony sokat sprálszol. Én is sokat...	sprálszok	sprálszom	0	sprálszok	NA	NA	3986	264128	lakok_3_high_reversed	lakok/lakom	33	-0.2876820724517809	sprálszok	sprálszom	1	NA	3	40	FALSE	TRUE	NA	NA	TRUE	TRUE	NA	NA	45
sztrajlik / sztrajozik	0.49247648509779424	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_08h42.05.689.csv	2023-06-21T08:42:00Z	6139181353b6c04cb2d95d8d	NA	NA	NA	8	second posttest trial	52	János imád sztrajozni, ezért sokat sztrajlik. Ők ritkán...	sztrajlanak	sztrajoznak	1	sztrajoznak	NA	NA	3860	258668	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.49247648509779424	sztrajlanak	sztrajoznak	1	nek	3	11	TRUE	FALSE	NA	NA	FALSE	FALSE	NA	NA	44
sztrajlik / sztrajozik	0.49247648509779424	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_13h08.08.328.csv	2023-06-21T13:08:00Z	5e8aefb03d71b0799a8d0f48	NA	NA	NA	8	second posttest trial	52	János imád sztrajozni, ezért sokat sztrajlik. Ők ritkán...	sztrajoznak	sztrajlanak	0	sztrajoznak	NA	NA	3736	243772	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.49247648509779424	sztrajlanak	sztrajoznak	1	nek	3	11	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	47
sztrajlik / sztrajozik	0.49247648509779424	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_13h14.12.882.csv	2023-06-21T13:14:00Z	61080f315a313dab03ea1cde	NA	NA	NA	8	second posttest trial	52	János imád sztrajozni, ezért sokat sztrajlik. Ők ritkán...	sztrajlanak	sztrajoznak	0	sztrajlanak	NA	NA	726	80421	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.49247648509779424	sztrajlanak	sztrajoznak	1	nek	3	11	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	47
sztruglik	0.4353180712578455	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_09h13.53.182.csv	2023-06-20T09:13:00Z	5fd7cd077541e708f2a10aed	NA	NA	NA	8	second posttest trial	52	Te bizony sokat sztruglasz. Én is sokat...	sztruglom	sztruglok	1	sztruglok	NA	NA	2005	202741	lakok_3_high_reversed	lakok/lakom	33	0.4353180712578455	sztruglok	sztruglom	1	NA	3	23	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	47
sztruglik	0.4353180712578455	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_09h23.38.663.csv	2023-06-20T09:23:00Z	600e8770316e2671811f49ac	NA	NA	NA	8	second posttest trial	52	Te bizony sokat sztruglasz. Én is sokat...	sztruglok	sztruglom	0	sztruglok	NA	NA	1766	181297	lakok_3_high_reversed	lakok/lakom	33	0.4353180712578455	sztruglok	sztruglom	1	NA	3	23	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	45
szűslik	0.8938178760220965	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_16h31.46.693.csv	2023-06-20T16:31:00Z	60d3acd071e98de7a42743ac	NA	NA	NA	8	second posttest trial	52	Te bizony sokat szűslesz. Én is sokat...	szűslök	szűslöm	0	szűslök	NA	NA	1669	242602	lakok_3_high_reversed	lakok/lakom	33	0.8938178760220965	szűslök	szűslöm	1	NA	3	13	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	44
táklik	-0.2876820724517809	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_13h28.37.951.csv	2023-06-20T13:28:00Z	605896a739d40fa144496f26	NA	NA	NA	8	second posttest trial	52	Te bizony sokat táklasz. Én is sokat...	táklom	táklok	1	táklok	NA	NA	963	192749	lakok_3_high_reversed	lakok/lakom	33	-0.2876820724517809	táklok	táklom	1	NA	3	41	FALSE	TRUE	NA	NA	FALSE	TRUE	NA	NA	47
tibarzik / tibarozik	0	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h12.42.107.csv	2023-06-21T11:12:00Z	60fddc9ee6bb457b10b9a7ae	NA	NA	NA	8	second posttest trial	52	János imád tibarozni, ezért sokat tibarzik. Ők ritkán...	tibarzanak	tibaroznak	1	tibaroznak	NA	NA	2075	479022	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0	tibarzanak	tibaroznak	2	nek	3	31	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	43
trűnylik / trűnyözik	0	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h37.17.295.csv	2023-06-21T11:37:00Z	5f452661c5a1b50a817ab094	NA	NA	NA	8	second posttest trial	52	János imád trűnyözni, ezért sokat trűnylik. Ők ritkán...	trűnylenek	trűnyöznek	1	trűnyöznek	NA	NA	1366	175668	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0	trűnylenek	trűnyöznek	1	nek	3	32	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	47
tuboklik	0.4353180712578455	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_08h56.52.861.csv	2023-06-20T08:56:00Z	60bf79a315a10bd3d21b3a96	NA	NA	NA	8	second posttest trial	52	Te bizony sokat tuboklasz. Én is sokat...	tuboklok	tuboklom	1	tuboklom	NA	NA	2484	221451	lakok_3_high_reversed	lakok/lakom	33	0.4353180712578455	tuboklok	tuboklom	2	NA	3	24	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	46
vihepszik	-0.7472144018302211	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_08h16.02.189.csv	2023-06-20T08:16:00Z	607cabdfb9addc46d23a0f19	NA	NA	NA	8	second posttest trial	52	Te bizony sokat vihepszel. Én is sokat...	vihepszem	vihepszek	1	vihepszek	NA	NA	3446	309981	lakok_3_high_reversed	lakok/lakom	33	-0.7472144018302211	vihepszek	vihepszem	2	NA	3	51	FALSE	TRUE	NA	NA	FALSE	TRUE	NA	NA	43
vobzik / vobozik	-0.2876820724517809	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h01.50.895.csv	2023-06-21T11:01:00Z	6153f8761fb770e105403eaa	NA	NA	NA	8	second posttest trial	52	János imád vobozni, ezért sokat vobzik. Ti ritkán...	voboztok	vobzotok	1	vobzotok	NA	NA	4437	421466	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.2876820724517809	vobzotok	voboztok	1	tek	3	42	FALSE	TRUE	NA	NA	FALSE	TRUE	NA	NA	36
aglik	-0.2076393647782445	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_12h41.07.671.csv	2023-06-20T12:41:00Z	5eeb31f414742d21c8dc5cd2	NA	NA	NA	8	second posttest trial	53	Te bizony sokat aglasz. Én is sokat...	aglom	aglok	0	aglom	NA	NA	1770	297354	lakok_3_high_reversed	lakok/lakom	33	-0.2076393647782445	aglok	aglom	1	NA	3	38	FALSE	FALSE	NA	NA	TRUE	FALSE	NA	NA	41
böjzik	0.14310084364067324	hungarian-esp_esp_participant_SESSION_2023-06-19_17h23.34.697.csv	2023-06-19T17:23:00Z	60bf79a315a10bd3d21b3a96	nő	1998	17	2	esp trial	53	Te bizony sokat böjzöl. Én is sokat...	böjzöm	böjzök	1	böjzök	böjzöm	FALSE	2908	368207	lakok_1_low_reversed	lakok/lakom	27	0.14310084364067324	böjzök	böjzöm	1	NA	1	28	FALSE	FALSE	low	reversed	FALSE	TRUE	FALSE	FALSE	22
bregzik / bregezik	0.49247648509779424	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h31.31.484.csv	2023-06-21T11:31:00Z	566f3979744e3e0005b63481	NA	NA	NA	8	second posttest trial	53	János imád bregezni, ezért sokat bregzik. Mi ritkán...	bregzünk	bregezünk	0	bregzünk	NA	NA	2603	212096	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.49247648509779424	bregzünk	bregezünk	1	ünk	3	10	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	48
bregzik / bregezik	0.49247648509779424	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_12h09.46.148.csv	2023-06-21T12:09:00Z	5d3c6e745602310001bca8aa	NA	NA	NA	8	second posttest trial	53	János imád bregezni, ezért sokat bregzik. Mi ritkán...	bregzünk	bregezünk	0	bregzünk	NA	NA	6709	664919	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.49247648509779424	bregzünk	bregezünk	1	ünk	3	10	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	40
bregzik / bregezik	0.49247648509779424	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_13h08.08.328.csv	2023-06-21T13:08:00Z	5e8aefb03d71b0799a8d0f48	NA	NA	NA	8	second posttest trial	53	János imád bregezni, ezért sokat bregzik. Mi ritkán...	bregezünk	bregzünk	1	bregzünk	NA	NA	2746	247020	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.49247648509779424	bregzünk	bregezünk	1	ünk	3	10	TRUE	FALSE	NA	NA	FALSE	TRUE	NA	NA	48
brüjlik	0.7472144018302211	hungarian-esp_esp_participant_SESSION_2023-06-19_17h27.46.511.csv	2023-06-19T17:27:00Z	5df97fcd11d8796fd29e85e3	Férfi	1998	14	2	esp trial	53	Te bizony sokat brüjlesz. Én is sokat...	brüjlöm	brüjlök	0	brüjlöm	brüjlöm	TRUE	3069	405061	lakok_1_low_reversed	lakok/lakom	27	0.7472144018302211	brüjlök	brüjlöm	1	NA	1	15	TRUE	FALSE	low	reversed	TRUE	FALSE	FALSE	TRUE	22
brürzik / brürözik	-0.1431008436406733	hungarian-esp_esp_participant_SESSION_2023-06-20_19h36.31.354.csv	2023-06-20T19:36:00Z	5c7cf1adc8c9920015d0bc60	férfi	1995	21	2	esp trial	53	János imád brürözni, ezért sokat brürzik. Ők ritkán...	brüröznek	brürzenek	0	brüröznek	brüröznek	TRUE	5149	413267	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	-0.1431008436406733	brürzenek	brüröznek	1	nek	1	37	FALSE	FALSE	low	reversed	TRUE	FALSE	FALSE	TRUE	22
